,composite_chain_id,coref_chain,dataset,subtopic_id,language,mentions,phrasing_diversity,unique_lemmas
18,DAT772kmtusCcGtKsQKADpiPS/NP4E//,DAT772kmtusCcGtKsQKADpiPS,NP4E,,,7,0.02,1
19,DAT8R6BERCkGxdBRtpGPtNivz/NP4E//,DAT8R6BERCkGxdBRtpGPtNivz,NP4E,,,11,0.327,2
20,DAT9Hseyb8bHkFRALgvHq8Kdy/NP4E//,DAT9Hseyb8bHkFRALgvHq8Kdy,NP4E,,,6,0.028,1
21,DAT9dSXsq5kzwWXVK6xUYyZDE/NP4E//,DAT9dSXsq5kzwWXVK6xUYyZDE,NP4E,,,7,0.082,1
22,DAT9gBqkjmMVjdHeqreA3SbbF/NP4E//,DAT9gBqkjmMVjdHeqreA3SbbF,NP4E,,,19,0.003,1
23,DATB9pZt6AWTt5ZYTyZyf37aF/NP4E//,DATB9pZt6AWTt5ZYTyZyf37aF,NP4E,,,2,2.0,2
24,DATBSycnVAksGDRWrHmbU5PEd/NP4E//,DATBSycnVAksGDRWrHmbU5PEd,NP4E,,,2,0.25,1
25,DATDbW8hchR6d3qWoUYvnSoRn/NP4E//,DATDbW8hchR6d3qWoUYvnSoRn,NP4E,,,2,2.0,2
26,DATDr9Ny3bss7wzQ82LTRXNgU/NP4E//,DATDr9Ny3bss7wzQ82LTRXNgU,NP4E,,,2,0.25,1
27,DATFrtv7PTdYDs5uCGQxkZXeg/NP4E//,DATFrtv7PTdYDs5uCGQxkZXeg,NP4E,,,5,0.5,2
28,DATGVeH7bgoJLeZmX4Dk4oicU/NP4E//,DATGVeH7bgoJLeZmX4Dk4oicU,NP4E,,,7,0.393,2
29,DATH5S3qrd9mvG59sKMYQaYiB/NP4E//,DATH5S3qrd9mvG59sKMYQaYiB,NP4E,,,24,0.002,1
30,DATLPR2bauUKDmyiJWGpjsa4d/NP4E//,DATLPR2bauUKDmyiJWGpjsa4d,NP4E,,,2,2.0,2
31,DATMsecCSL2pvQiUgpvC9BW3Q/NP4E//,DATMsecCSL2pvQiUgpvC9BW3Q,NP4E,,,25,0.963,3
32,DATNYHPYX85nEDKd6Wwhk3EZR/NP4E//,DATNYHPYX85nEDKd6Wwhk3EZR,NP4E,,,4,1.125,2
33,DATP5rQ33h5ksHMQWCjLHaxbU/NP4E//,DATP5rQ33h5ksHMQWCjLHaxbU,NP4E,,,5,2.0,3
34,DATSaw2VcbQsSvLtyfeAnTVxV/NP4E//,DATSaw2VcbQsSvLtyfeAnTVxV,NP4E,,,65,4.663,14
35,DATU84BoP2HZFpNtTTdrHz5LH/NP4E//,DATU84BoP2HZFpNtTTdrHz5LH,NP4E,,,2,1.0,1
36,DATU84fL6wLsHBmzeQo6oeRfJ/NP4E//,DATU84fL6wLsHBmzeQo6oeRfJ,NP4E,,,11,0.033,1
37,DATUspQbX63XiKutkAk3UC4AB/NP4E//,DATUspQbX63XiKutkAk3UC4AB,NP4E,,,5,0.9,2
38,DATWnv3GfSVpspoSkqfo48UwE/NP4E//,DATWnv3GfSVpspoSkqfo48UwE,NP4E,,,3,1.0,2
39,DATWzcySNnJ4M2XSfnWnLNtZ4/NP4E//,DATWzcySNnJ4M2XSfnWnLNtZ4,NP4E,,,7,0.2,2
40,DATYBYpkSjKPCXgW48pd9WUXA/NP4E//,DATYBYpkSjKPCXgW48pd9WUXA,NP4E,,,2,0.25,1
41,DATZFTguzajC3kjzqHDVoDQ7D/NP4E//,DATZFTguzajC3kjzqHDVoDQ7D,NP4E,,,14,0.154,2
42,DATZUQDjW6pmkVQvYyTkp7KXX/NP4E//,DATZUQDjW6pmkVQvYyTkp7KXX,NP4E,,,7,0.082,1
43,DATa2G25N9RSMeDWyDxuXvWSd/NP4E//,DATa2G25N9RSMeDWyDxuXvWSd,NP4E,,,32,0.066,3
44,DATcSSooiLWpwXKRw9bxVPKMd/NP4E//,DATcSSooiLWpwXKRw9bxVPKMd,NP4E,,,14,0.02,1
45,DATd46boNxnqYC8KH3jPBRhNf/NP4E//,DATd46boNxnqYC8KH3jPBRhNf,NP4E,,,6,0.028,1
46,DATei5Cmo5dNVAoZQeQvCCkaV/NP4E//,DATei5Cmo5dNVAoZQeQvCCkaV,NP4E,,,2,2.0,2
47,DATfRJnxftrzHTjbM4FLh83Qf/NP4E//,DATfRJnxftrzHTjbM4FLh83Qf,NP4E,,,13,0.167,2
48,DATj6zKo4U9ytGxqzUGJuv85m/NP4E//,DATj6zKo4U9ytGxqzUGJuv85m,NP4E,,,6,0.028,1
49,DATjc77uJyTTPzjjmTihtGtsr/NP4E//,DATjc77uJyTTPzjjmTihtGtsr,NP4E,,,33,2.469,8
50,DATjvdS6PhKkvs26xQyQ56PDE/NP4E//,DATjvdS6PhKkvs26xQyQ56PDE,NP4E,,,15,0.143,2
51,DATmQqodp9ghg8tSyBUUbW2zw/NP4E//,DATmQqodp9ghg8tSyBUUbW2zw,NP4E,,,19,0.003,1
52,DATmo4ya6rQsukYzx8Xcn8rPy/NP4E//,DATmo4ya6rQsukYzx8Xcn8rPy,NP4E,,,22,0.477,3
53,DATnK94rpBpCJ2pKaQw9KeWcL/NP4E//,DATnK94rpBpCJ2pKaQw9KeWcL,NP4E,,,6,0.028,1
54,DATnvX7eZzVprRjHrw5xg4rEf/NP4E//,DATnvX7eZzVprRjHrw5xg4rEf,NP4E,,,2,1.0,1
55,EVEeEvXRCnQTvMibci4epGiRM/NP4E//,EVEeEvXRCnQTvMibci4epGiRM,NP4E,,,5,1.4,2
56,FACnnJHjswvKBPh8muvvpAZBj/NP4E//,FACnnJHjswvKBPh8muvvpAZBj,NP4E,,,6,0.694,1
57,GPE2iwAa2CxFJDDoEaVbrPiTa/NP4E//,GPE2iwAa2CxFJDDoEaVbrPiTa,NP4E,,,10,0.367,2
58,GPE3KfpjMrj9KfNPjWN657q4F/NP4E//,GPE3KfpjMrj9KfNPjWN657q4F,NP4E,,,3,1.0,2
59,GPE4gTt27RFEVREhD5uz3n5RG/NP4E//,GPE4gTt27RFEVREhD5uz3n5RG,NP4E,,,12,0.733,3
60,GPE6gJbCsXj98BwNMq7s9YNQ8/NP4E//,GPE6gJbCsXj98BwNMq7s9YNQ8,NP4E,,,60,0.685,8
61,GPE7mGAGkoUHioPt4zeqcVLuv/NP4E//,GPE7mGAGkoUHioPt4zeqcVLuv,NP4E,,,12,0.007,1
62,GPE7xKAoGGBUXVvjYehKUQn5Z/NP4E//,GPE7xKAoGGBUXVvjYehKUQn5Z,NP4E,,,16,0.5,2
63,GPE9LiV3gpPDTMyJYq9rN77J2/NP4E//,GPE9LiV3gpPDTMyJYq9rN77J2,NP4E,,,2,0.5,2
64,GPECMM73DbvTndA2jL2SGpdUA/NP4E//,GPECMM73DbvTndA2jL2SGpdUA,NP4E,,,13,0.677,4
65,GPEDwTLA3KKxPtmQTc3VJv8aH/NP4E//,GPEDwTLA3KKxPtmQTc3VJv8aH,NP4E,,,14,0.845,4
66,GPEE4joxXHYMpemBQvFripGzi/NP4E//,GPEE4joxXHYMpemBQvFripGzi,NP4E,,,5,0.5,2
67,GPEF9NXsuSFryQiBUixXMCr5x/NP4E//,GPEF9NXsuSFryQiBUixXMCr5x,NP4E,,,130,1.6,18
68,GPEFp38rknCKBEso9KgVhEsqo/NP4E//,GPEFp38rknCKBEso9KgVhEsqo,NP4E,,,2,0.25,1
69,GPEHU27vVbhraPPcreVzqbSWq/NP4E//,GPEHU27vVbhraPPcreVzqbSWq,NP4E,,,2,2.0,2
70,GPEJN9nN4KYrj8YYs2TsgTAHJ/NP4E//,GPEJN9nN4KYrj8YYs2TsgTAHJ,NP4E,,,113,0.939,5
71,GPEJenwzLhRbSR6zirhFctjs4/NP4E//,GPEJenwzLhRbSR6zirhFctjs4,NP4E,,,5,0.9,3
72,GPEK7q2RtZ4WENsxbb5WJHq8V/NP4E//,GPEK7q2RtZ4WENsxbb5WJHq8V,NP4E,,,5,0.9,2
73,GPEKuAD4RgW325xzisiwrhTFn/NP4E//,GPEKuAD4RgW325xzisiwrhTFn,NP4E,,,27,0.951,8
74,GPELG72G2AgzEt54vANQqBBf2/NP4E//,GPELG72G2AgzEt54vANQqBBf2,NP4E,,,44,0.002,1
75,GPELJ9xSiri5V6EifF4FoA2yW/NP4E//,GPELJ9xSiri5V6EifF4FoA2yW,NP4E,,,2,2.0,2
76,GPELfBrkgH5QLZnRoW7fkRitM/NP4E//,GPELfBrkgH5QLZnRoW7fkRitM,NP4E,,,59,1.712,9
77,GPELhBG4aJD56hziZaYujhmzM/NP4E//,GPELhBG4aJD56hziZaYujhmzM,NP4E,,,17,1.218,6
78,GPELxVUt5LEUABK855zqeo34r/NP4E//,GPELxVUt5LEUABK855zqeo34r,NP4E,,,10,0.857,3
79,GPEMKoParYUmibXN2uYtxGd3T/NP4E//,GPEMKoParYUmibXN2uYtxGd3T,NP4E,,,4,0.667,2
80,GPENco2gM7mDjN8d5B7u44U4U/NP4E//,GPENco2gM7mDjN8d5B7u44U4U,NP4E,,,155,2.278,12
81,GPEP5EBemjgam4ymsSMZabbiQ/NP4E//,GPEP5EBemjgam4ymsSMZabbiQ,NP4E,,,154,0.849,11
82,GPEPoYy35hQgmiRDATcM6E7z7/NP4E//,GPEPoYy35hQgmiRDATcM6E7z7,NP4E,,,11,0.083,2
83,GPEQKXRr5tX7cH7WJ6aWhXcP4/NP4E//,GPEQKXRr5tX7cH7WJ6aWhXcP4,NP4E,,,2,0.25,1
84,GPEQNd6S7HmtqdzAGrw2vUGpU/NP4E//,GPEQNd6S7HmtqdzAGrw2vUGpU,NP4E,,,14,0.779,3
85,GPEQwoAkgPPPECiKcCFTg7ymM/NP4E//,GPEQwoAkgPPPECiKcCFTg7ymM,NP4E,,,3,2.0,2
86,GPERbDbY3o5A5GNHTNoamcPWy/NP4E//,GPERbDbY3o5A5GNHTNoamcPWy,NP4E,,,14,1.571,6
87,GPETdSgGMSokByZpMXLoYuJ89/NP4E//,GPETdSgGMSokByZpMXLoYuJ89,NP4E,,,2,2.0,2
88,GPETh76y29wPWxBiNMyBZSnKP/NP4E//,GPETh76y29wPWxBiNMyBZSnKP,NP4E,,,2,2.0,2
89,GPEU2WYfXePxziER6K3nRL6pf/NP4E//,GPEU2WYfXePxziER6K3nRL6pf,NP4E,,,2,0.5,2
90,GPEWCDYVNb2Vrd4wsPbhGaBBr/NP4E//,GPEWCDYVNb2Vrd4wsPbhGaBBr,NP4E,,,2,0.25,1
91,GPEWEYJEcwwcPYGpj35DFLALi/NP4E//,GPEWEYJEcwwcPYGpj35DFLALi,NP4E,,,5,0.05,2
92,GPEWRUJftrfYK66JC7AdM55Qx/NP4E//,GPEWRUJftrfYK66JC7AdM55Qx,NP4E,,,23,0.922,6
93,GPEWU55pBJTrCdchBjXSiYGmA/NP4E//,GPEWU55pBJTrCdchBjXSiYGmA,NP4E,,,23,0.234,4
94,GPEXt4daog4zbaHyztYmiK4ZE/NP4E//,GPEXt4daog4zbaHyztYmiK4ZE,NP4E,,,26,1.143,4
95,GPEaxuBqemAtwr69YQVczNUnw/NP4E//,GPEaxuBqemAtwr69YQVczNUnw,NP4E,,,2,0.25,1
96,GPEcnfhV47qS36wtYUTV79gQ7/NP4E//,GPEcnfhV47qS36wtYUTV79gQ7,NP4E,,,167,2.715,21
97,GPEd9ch9eg2ReDmh9tR94c5hf/NP4E//,GPEd9ch9eg2ReDmh9tR94c5hf,NP4E,,,4,0.5,2
98,GPEdrucaKx9D29ZJC4s8XbArH/NP4E//,GPEdrucaKx9D29ZJC4s8XbArH,NP4E,,,187,0.154,12
99,GPEeQJ7XBtXNvyi88yM2Hh8RX/NP4E//,GPEeQJ7XBtXNvyi88yM2Hh8RX,NP4E,,,2,0.25,1
100,GPEezTx9t8dVqcRow8pca5tys/NP4E//,GPEezTx9t8dVqcRow8pca5tys,NP4E,,,148,0.74,11
101,GPEhCPNmXVsNFprciYqGtcd6X/NP4E//,GPEhCPNmXVsNFprciYqGtcd6X,NP4E,,,22,0.095,2
102,GPEhaQFbvycByihMPP5MKzb4Q/NP4E//,GPEhaQFbvycByihMPP5MKzb4Q,NP4E,,,2,0.25,1
103,GPEjN4vpzLFZk3EAdZFUYzu87/NP4E//,GPEjN4vpzLFZk3EAdZFUYzu87,NP4E,,,35,0.344,3
104,GPEnim3m8AEcp6ns2PbrSv8cG/NP4E//,GPEnim3m8AEcp6ns2PbrSv8cG,NP4E,,,7,0.333,2
105,GPEnze6AN5aUwgh9d8T3dwqtd/NP4E//,GPEnze6AN5aUwgh9d8T3dwqtd,NP4E,,,5,2.133,3
106,GPEoN8doaYVm39eJvtCKe5kG9/NP4E//,GPEoN8doaYVm39eJvtCKe5kG9,NP4E,,,10,0.01,1
107,LAW9uFmLEERnLgayJZYs9V6Ep/NP4E//,LAW9uFmLEERnLgayJZYs9V6Ep,NP4E,,,2,1.0,1
108,LOC99qQxVEy43sxWRG2qQYRYo/NP4E//,LOC99qQxVEy43sxWRG2qQYRYo,NP4E,,,7,0.082,1
109,LOCQEVRz932phWreCxGyvQNWF/NP4E//,LOCQEVRz932phWreCxGyvQNWF,NP4E,,,10,0.9,3
110,LOCYB9GDeh3847qVoL4TuqeUU/NP4E//,LOCYB9GDeh3847qVoL4TuqeUU,NP4E,,,2,2.0,2
111,LOCnFRfPgq3tjdfafapfQdEmB/NP4E//,LOCnFRfPgq3tjdfafapfQdEmB,NP4E,,,2,0.25,1
112,NOR3Ue5iUoQhhL7yjVmVVqevX/NP4E//,NOR3Ue5iUoQhhL7yjVmVVqevX,NP4E,,,23,1.366,6
113,NOR4gfVgRD7LunFkcJRMKnoVD/NP4E//,NOR4gfVgRD7LunFkcJRMKnoVD,NP4E,,,16,2.5,6
114,NOR6gsW8dF8gj6MRZDJfWpmAv/NP4E//,NOR6gsW8dF8gj6MRZDJfWpmAv,NP4E,,,8,0.031,3
115,NORBuJVJTLcMMDR97snRqYCqQ/NP4E//,NORBuJVJTLcMMDR97snRqYCqQ,NP4E,,,2,2.0,2
116,NORChbjPjFq8rpn8BFB8TURaT/NP4E//,NORChbjPjFq8rpn8BFB8TURaT,NP4E,,,21,0.286,2
117,NORDRxyP5yj2yEkTaxjiEpyo7/NP4E//,NORDRxyP5yj2yEkTaxjiEpyo7,NP4E,,,6,0.222,2
118,NORGtjCVuyEUwuU25A34aXP4S/NP4E//,NORGtjCVuyEUwuU25A34aXP4S,NP4E,,,205,1.904,17
119,NORH9QFX7qyQfd8c5LDpx9BPq/NP4E//,NORH9QFX7qyQfd8c5LDpx9BPq,NP4E,,,2,2.0,2
120,NORHPKC5a8dpXB99VyFa7fEPj/NP4E//,NORHPKC5a8dpXB99VyFa7fEPj,NP4E,,,2,2.0,2
121,NORHvJeoFDRHt7bvviuGBbjWB/NP4E//,NORHvJeoFDRHt7bvviuGBbjWB,NP4E,,,23,0.087,3
122,NORKyScXmV5VUfRWspuJeZMhn/NP4E//,NORKyScXmV5VUfRWspuJeZMhn,NP4E,,,9,2.037,7
123,NORLx8adAaW7FJQMW7NyYyrkF/NP4E//,NORLx8adAaW7FJQMW7NyYyrkF,NP4E,,,5,1.4,2
124,NORMt5rsC6AuwcAH2NrnCcN9S/NP4E//,NORMt5rsC6AuwcAH2NrnCcN9S,NP4E,,,3,0.111,1
125,NORYnC5njQo9ZTMto6fCSDCEg/NP4E//,NORYnC5njQo9ZTMto6fCSDCEg,NP4E,,,2,2.0,2
126,NORbtbTku2LNudLknACYKiqKj/NP4E//,NORbtbTku2LNudLknACYKiqKj,NP4E,,,2,2.0,2
127,NORjH8bygMRpzMgFBSkCouwu7/NP4E//,NORjH8bygMRpzMgFBSkCouwu7,NP4E,,,3,0.167,2
128,NORjgZqRFdh6evbNPvvtGXD9A/NP4E//,NORjgZqRFdh6evbNPvvtGXD9A,NP4E,,,35,0.616,5
129,NORoQYd2LAVZWF85G3UwDN3Ev/NP4E//,NORoQYd2LAVZWF85G3UwDN3Ev,NP4E,,,2,0.5,2
130,ORG22DLXUdZmAbbvdFPUuRjhh/NP4E//,ORG22DLXUdZmAbbvdFPUuRjhh,NP4E,,,34,2.121,10
131,ORG2KSDzHqBwHpTRM7hZT8P2y/NP4E//,ORG2KSDzHqBwHpTRM7hZT8P2y,NP4E,,,4,2.25,4
132,ORG3JthmFyr4ytD9eUGgiVk64/NP4E//,ORG3JthmFyr4ytD9eUGgiVk64,NP4E,,,13,0.006,1
133,ORG3f5oB7DhjgBDS2kyMygSD6/NP4E//,ORG3f5oB7DhjgBDS2kyMygSD6,NP4E,,,6,0.833,3
134,ORG3tG2dP4BCTjAUdQFqLifDE/NP4E//,ORG3tG2dP4BCTjAUdQFqLifDE,NP4E,,,7,1.905,5
135,ORG4AyKvAsaSc2inmGu2mNA6b/NP4E//,ORG4AyKvAsaSc2inmGu2mNA6b,NP4E,,,2,0.5,2
136,ORG6bEfADwVDJefMwQU4mhsW4/NP4E//,ORG6bEfADwVDJefMwQU4mhsW4,NP4E,,,6,1.444,3
137,ORG7Ky7uFZYno6cMNoMBsPV6x/NP4E//,ORG7Ky7uFZYno6cMNoMBsPV6x,NP4E,,,6,0.222,2
138,ORG7rCEZ5XtWbRVUgBXisbpbH/NP4E//,ORG7rCEZ5XtWbRVUgBXisbpbH,NP4E,,,11,1.745,4
139,ORG85iqg8mi5JETonbXnL7Tks/NP4E//,ORG85iqg8mi5JETonbXnL7Tks,NP4E,,,5,4.0,4
140,ORG8xupTUTMrGezS2bfJMwMru/NP4E//,ORG8xupTUTMrGezS2bfJMwMru,NP4E,,,3,1.333,3
141,ORG9BawL9vKbDDoYrruAFxYKL/NP4E//,ORG9BawL9vKbDDoYrruAFxYKL,NP4E,,,39,0.439,5
142,ORGA9BrDE5DhY5pB2LsEvkyzC/NP4E//,ORGA9BrDE5DhY5pB2LsEvkyzC,NP4E,,,5,1.0,3
143,ORGAY7EGbWttZW34x2QLDzjC7/NP4E//,ORGAY7EGbWttZW34x2QLDzjC7,NP4E,,,10,1.8,4
144,ORGAapRZ359Ju9J9MeSXtvCtS/NP4E//,ORGAapRZ359Ju9J9MeSXtvCtS,NP4E,,,16,0.383,4
145,ORGB8ADMQbDtcR728iNTvU5m8/NP4E//,ORGB8ADMQbDtcR728iNTvU5m8,NP4E,,,21,1.181,6
146,ORGBFgaaGbaT2tNtCUMqjuAyc/NP4E//,ORGBFgaaGbaT2tNtCUMqjuAyc,NP4E,,,4,2.0,2
147,ORGCmc4xWys8smqnQmqFAf8xp/NP4E//,ORGCmc4xWys8smqnQmqFAf8xp,NP4E,,,6,2.0,4
148,ORGCzeZMeUyi3gAqjttPSq9Pe/NP4E//,ORGCzeZMeUyi3gAqjttPSq9Pe,NP4E,,,14,0.292,3
149,ORGD3ipSm5Aayu7QwnNjsn62z/NP4E//,ORGD3ipSm5Aayu7QwnNjsn62z,NP4E,,,4,1.0,4
150,ORGE6wqP9gnq7b2mUxHdRrpRg/NP4E//,ORGE6wqP9gnq7b2mUxHdRrpRg,NP4E,,,25,1.351,6
151,ORGHRPoe9PX2VtgLAvQpejqnz/NP4E//,ORGHRPoe9PX2VtgLAvQpejqnz,NP4E,,,4,0.5,3
152,ORGHj4KxpgKBa3PQQBcSa8pwX/NP4E//,ORGHj4KxpgKBa3PQQBcSa8pwX,NP4E,,,5,2.8,4
153,ORGJ76YEjFqiDpoZciBiQVFpZ/NP4E//,ORGJ76YEjFqiDpoZciBiQVFpZ,NP4E,,,13,0.218,4
154,ORGJMaU5opEmkKzVHxYZob8ga/NP4E//,ORGJMaU5opEmkKzVHxYZob8ga,NP4E,,,2,2.0,2
155,ORGKXqdoSCZGG9pLn4UbidZpV/NP4E//,ORGKXqdoSCZGG9pLn4UbidZpV,NP4E,,,5,1.2,1
156,ORGKdxc2UMMAgGUN8jW2WS4Qs/NP4E//,ORGKdxc2UMMAgGUN8jW2WS4Qs,NP4E,,,9,0.867,2
157,ORGKkb228WG5qcX2wyKK36vNg/NP4E//,ORGKkb228WG5qcX2wyKK36vNg,NP4E,,,8,0.016,1
158,ORGLKbK7VmE6jwLRJSHQ2WMjf/NP4E//,ORGLKbK7VmE6jwLRJSHQ2WMjf,NP4E,,,6,0.333,3
159,ORGMuvepNHZq2VMSruypCjX8z/NP4E//,ORGMuvepNHZq2VMSruypCjX8z,NP4E,,,7,1.143,2
160,ORGQMajkoDXkxh26RBXwUP34B/NP4E//,ORGQMajkoDXkxh26RBXwUP34B,NP4E,,,2,0.5,2
161,ORGVfQz4KSNhiRxyszTHW8Qbf/NP4E//,ORGVfQz4KSNhiRxyszTHW8Qbf,NP4E,,,4,0.25,3
162,ORGVhQonAcN92R45JnYrQUT8m/NP4E//,ORGVhQonAcN92R45JnYrQUT8m,NP4E,,,6,0.917,3
163,ORGWLcrT7ZksadocFEouckGK9/NP4E//,ORGWLcrT7ZksadocFEouckGK9,NP4E,,,36,0.479,3
164,ORGXg4PemDsLQKxvm8VtwfYLN/NP4E//,ORGXg4PemDsLQKxvm8VtwfYLN,NP4E,,,4,0.5,2
165,ORGZm6ePdsWSgGZqP9ussD7Zq/NP4E//,ORGZm6ePdsWSgGZqP9ussD7Zq,NP4E,,,5,0.04,1
166,ORGZoCo8izEhhKHgHdNSW4Br9/NP4E//,ORGZoCo8izEhhKHgHdNSW4Br9,NP4E,,,2,0.25,1
167,ORGa8k9cskGbibq2ibarzW3Y6/NP4E//,ORGa8k9cskGbibq2ibarzW3Y6,NP4E,,,8,0.225,2
168,ORGb6tW8ahXYju8XK3tEnT2yE/NP4E//,ORGb6tW8ahXYju8XK3tEnT2yE,NP4E,,,246,0.665,12
169,ORGc3QgSULtiSCeLwe3MkUgjB/NP4E//,ORGc3QgSULtiSCeLwe3MkUgjB,NP4E,,,7,0.19,3
170,ORGc4RVZmKpwHh3dC5qBJajvs/NP4E//,ORGc4RVZmKpwHh3dC5qBJajvs,NP4E,,,34,0.438,6
171,ORGciGxbASwRnVveLZVmK2gp3/NP4E//,ORGciGxbASwRnVveLZVmK2gp3,NP4E,,,6,0.028,1
172,ORGd2Pm9AW5jaWZ2SGY4YeXRX/NP4E//,ORGd2Pm9AW5jaWZ2SGY4YeXRX,NP4E,,,2,2.0,2
173,ORGe7XngkUeBieAmTMNp8soze/NP4E//,ORGe7XngkUeBieAmTMNp8soze,NP4E,,,4,0.5,3
174,ORGeN89tBvT7EykwdHop3Ne6z/NP4E//,ORGeN89tBvT7EykwdHop3Ne6z,NP4E,,,8,0.281,2
175,ORGehLAGPs5Zqg9v39Tt2ddsV/NP4E//,ORGehLAGPs5Zqg9v39Tt2ddsV,NP4E,,,199,3.898,22
176,ORGf4DA2q8f8PNfBZNrmvqTXC/NP4E//,ORGf4DA2q8f8PNfBZNrmvqTXC,NP4E,,,4,2.25,3
177,ORGf4tW7NToNuR2BdxrMhxuWV/NP4E//,ORGf4tW7NToNuR2BdxrMhxuWV,NP4E,,,2,2.0,2
178,ORGg2K8QNmgig68QbXFbfsLY6/NP4E//,ORGg2K8QNmgig68QbXFbfsLY6,NP4E,,,8,0.958,3
179,ORGhSEzgmpadkHHNQBe9RJKxV/NP4E//,ORGhSEzgmpadkHHNQBe9RJKxV,NP4E,,,3,3.0,3
180,ORGhcyQjZko8iYJUyfQLUBYh2/NP4E//,ORGhcyQjZko8iYJUyfQLUBYh2,NP4E,,,20,0.496,3
181,ORGiCHryPdiTo5NsgY2zHHeMk/NP4E//,ORGiCHryPdiTo5NsgY2zHHeMk,NP4E,,,7,0.19,3
182,ORGiwnSqZfybWan3kPaPJNh9p/NP4E//,ORGiwnSqZfybWan3kPaPJNh9p,NP4E,,,6,0.028,1
183,ORGjUqAFmnWAkmbRaB8rV5RTp/NP4E//,ORGjUqAFmnWAkmbRaB8rV5RTp,NP4E,,,11,1.352,3
184,ORGkFrCiKzHTctCqgwU8KmQpe/NP4E//,ORGkFrCiKzHTctCqgwU8KmQpe,NP4E,,,6,1.667,3
185,ORGkP4TtzFTpz5eUHX6kkmKrL/NP4E//,ORGkP4TtzFTpz5eUHX6kkmKrL,NP4E,,,6,0.222,2
186,ORGmhvbgAdbHbho86getVevDb/NP4E//,ORGmhvbgAdbHbho86getVevDb,NP4E,,,126,0.349,10
187,OTH2AMbft4ATnGxieSrYgrJEW/NP4E//,OTH2AMbft4ATnGxieSrYgrJEW,NP4E,,,2,2.0,2
188,OTH2CiUgczEpPUNDqM36R29wa/NP4E//,OTH2CiUgczEpPUNDqM36R29wa,NP4E,,,2,2.0,2
189,OTH2Ehrm9YVnniyE9wi2vgKuP/NP4E//,OTH2Ehrm9YVnniyE9wi2vgKuP,NP4E,,,8,0.482,2
190,OTH2KivufQkm36rjRWKBgS6uf/NP4E//,OTH2KivufQkm36rjRWKBgS6uf,NP4E,,,3,0.333,3
191,OTH2UJtpq6Av5kY32yCiSts99/NP4E//,OTH2UJtpq6Av5kY32yCiSts99,NP4E,,,2,0.5,2
192,OTH2fTxvitxuviWgiT99JkndM/NP4E//,OTH2fTxvitxuviWgiT99JkndM,NP4E,,,2,1.0,1
193,OTH2pg5t7aPxyg2Acs4nap32D/NP4E//,OTH2pg5t7aPxyg2Acs4nap32D,NP4E,,,2,0.5,2
