,composite_chain_id,coref_chain,dataset,subtopic,language,mentions,phrasing_diversity,unique_lemmas
15,EnhBJvX2K9zB8bXrC/MEANTIME//,EnhBJvX2K9zB8bXrC,MEANTIME,,,1,1.0,1
16,F89HKsQkTsbrbiJYt/MEANTIME//,F89HKsQkTsbrbiJYt,MEANTIME,,,1,1.0,1
17,FIN2KwphWQUDkqGVmicG/MEANTIME//,FIN2KwphWQUDkqGVmicG,MEANTIME,,,1,1.0,1
18,FIN2L8fn3mYJXrNHsPk6/MEANTIME//,FIN2L8fn3mYJXrNHsPk6,MEANTIME,,,1,1.0,1
19,FIN2ZuECovD2dMWiFaAJ/MEANTIME//,FIN2ZuECovD2dMWiFaAJ,MEANTIME,,,1,1.0,1
20,FIN36112210245740722/MEANTIME//,FIN36112210245740722,MEANTIME,,,3,3.0,3
21,FIN39323676120351079/MEANTIME//,FIN39323676120351079,MEANTIME,,,282,12.169,37
22,FIN39324663297288769/MEANTIME//,FIN39324663297288769,MEANTIME,,,97,5.689,13
23,FIN39325939269459429/MEANTIME//,FIN39325939269459429,MEANTIME,,,74,8.703,15
24,FIN39326930888384754/MEANTIME//,FIN39326930888384754,MEANTIME,,,95,10.567,20
25,FIN39327473292302528/MEANTIME//,FIN39327473292302528,MEANTIME,,,20,9.35,11
26,FIN39477410956507459/MEANTIME//,FIN39477410956507459,MEANTIME,,,9,4.889,6
27,FIN39477479261434299/MEANTIME//,FIN39477479261434299,MEANTIME,,,4,4.0,4
28,FIN39480880133290753/MEANTIME//,FIN39480880133290753,MEANTIME,,,3,3.0,3
29,FIN39486420201433790/MEANTIME//,FIN39486420201433790,MEANTIME,,,3,3.0,3
30,FIN39490094871843196/MEANTIME//,FIN39490094871843196,MEANTIME,,,4,4.0,4
31,FIN39493485194331060/MEANTIME//,FIN39493485194331060,MEANTIME,,,4,4.0,4
32,FIN39496666069037044/MEANTIME//,FIN39496666069037044,MEANTIME,,,11,5.0,5
33,FIN39496703588597410/MEANTIME//,FIN39496703588597410,MEANTIME,,,4,4.0,4
34,FIN39498038043532812/MEANTIME//,FIN39498038043532812,MEANTIME,,,6,4.0,4
35,FIN39498080489558939/MEANTIME//,FIN39498080489558939,MEANTIME,,,16,11.0,11
36,FIN39498128122418767/MEANTIME//,FIN39498128122418767,MEANTIME,,,2,2.0,2
37,FIN39499830988680503/MEANTIME//,FIN39499830988680503,MEANTIME,,,2,2.0,2
38,FIN39499870301921717/MEANTIME//,FIN39499870301921717,MEANTIME,,,4,4.0,4
39,FIN39500172694950632/MEANTIME//,FIN39500172694950632,MEANTIME,,,6,5.0,5
40,FIN39561764394171706/MEANTIME//,FIN39561764394171706,MEANTIME,,,4,4.0,4
41,FIN39675204951251977/MEANTIME//,FIN39675204951251977,MEANTIME,,,4,4.0,4
42,FIN39675751188646842/MEANTIME//,FIN39675751188646842,MEANTIME,,,3,3.0,3
43,FIN39675879107047155/MEANTIME//,FIN39675879107047155,MEANTIME,,,21,6.599,6
44,FIN39676254160797920/MEANTIME//,FIN39676254160797920,MEANTIME,,,5,2.0,2
45,FIN39676646219701103/MEANTIME//,FIN39676646219701103,MEANTIME,,,160,10.707,20
46,FIN39755153334854979/MEANTIME//,FIN39755153334854979,MEANTIME,,,70,10.4,16
47,FIN3ZwbgCa7svbuvxvWi/MEANTIME//,FIN3ZwbgCa7svbuvxvWi,MEANTIME,,,1,1.0,1
48,FIN40197049224228580/MEANTIME//,FIN40197049224228580,MEANTIME,,,109,11.256,16
49,FIN40257982401561392/MEANTIME//,FIN40257982401561392,MEANTIME,,,10,5.4,7
50,FIN40264557228902287/MEANTIME//,FIN40264557228902287,MEANTIME,,,12,4.722,6
51,FIN40369405063703585/MEANTIME//,FIN40369405063703585,MEANTIME,,,34,3.757,6
52,FIN40522987686527925/MEANTIME//,FIN40522987686527925,MEANTIME,,,9,6.222,7
53,FIN40540317165195370/MEANTIME//,FIN40540317165195370,MEANTIME,,,9,4.444,6
54,FIN40540689618469900/MEANTIME//,FIN40540689618469900,MEANTIME,,,4,4.0,4
55,FIN43996441595284186/MEANTIME//,FIN43996441595284186,MEANTIME,,,3,3.0,3
56,FIN43996626857482700/MEANTIME//,FIN43996626857482700,MEANTIME,,,14,6.089,10
57,FIN43997387133733071/MEANTIME//,FIN43997387133733071,MEANTIME,,,4,4.0,4
58,FIN43998655660775540/MEANTIME//,FIN43998655660775540,MEANTIME,,,6,4.167,6
59,FIN43998864667879428/MEANTIME//,FIN43998864667879428,MEANTIME,,,3,3.0,3
60,FIN44060642242291052/MEANTIME//,FIN44060642242291052,MEANTIME,,,31,0.633,6
61,FIN44061602416744416/MEANTIME//,FIN44061602416744416,MEANTIME,,,19,11.0,8
62,FIN44082788519490112/MEANTIME//,FIN44082788519490112,MEANTIME,,,13,7.846,9
63,FIN44084029163573456/MEANTIME//,FIN44084029163573456,MEANTIME,,,3,3.0,3
64,FIN44084121631168981/MEANTIME//,FIN44084121631168981,MEANTIME,,,5,5.0,5
65,FIN44084625053963775/MEANTIME//,FIN44084625053963775,MEANTIME,,,15,8.4,10
66,FIN44085454248409183/MEANTIME//,FIN44085454248409183,MEANTIME,,,5,2.0,2
67,FIN44086725819535037/MEANTIME//,FIN44086725819535037,MEANTIME,,,6,0.25,1
68,FIN44152186883953807/MEANTIME//,FIN44152186883953807,MEANTIME,,,4,1.875,3
69,FIN44152284304872155/MEANTIME//,FIN44152284304872155,MEANTIME,,,4,4.0,4
70,FIN44152297550777864/MEANTIME//,FIN44152297550777864,MEANTIME,,,4,4.0,4
71,FIN44152585775576774/MEANTIME//,FIN44152585775576774,MEANTIME,,,14,2.976,6
72,FIN44158480991940202/MEANTIME//,FIN44158480991940202,MEANTIME,,,4,4.0,3
73,FIN44158715337352833/MEANTIME//,FIN44158715337352833,MEANTIME,,,4,4.0,4
74,FIN44159529908035869/MEANTIME//,FIN44159529908035869,MEANTIME,,,10,5.4,7
75,FIN44159687171187229/MEANTIME//,FIN44159687171187229,MEANTIME,,,5,3.0,3
76,FIN44160269826652668/MEANTIME//,FIN44160269826652668,MEANTIME,,,18,1.8,4
77,FIN44160888966446507/MEANTIME//,FIN44160888966446507,MEANTIME,,,7,4.0,4
78,FIN44161804566677888/MEANTIME//,FIN44161804566677888,MEANTIME,,,3,1.0,1
79,FIN44167555912760638/MEANTIME//,FIN44167555912760638,MEANTIME,,,3,3.0,3
80,FIN44167661667484280/MEANTIME//,FIN44167661667484280,MEANTIME,,,9,9.0,6
81,FIN44168057447023860/MEANTIME//,FIN44168057447023860,MEANTIME,,,7,3.857,5
82,FIN44168215648930637/MEANTIME//,FIN44168215648930637,MEANTIME,,,24,11.667,14
83,FIN44168451456823328/MEANTIME//,FIN44168451456823328,MEANTIME,,,4,4.0,4
84,FIN44168897806601481/MEANTIME//,FIN44168897806601481,MEANTIME,,,7,7.0,4
85,FIN44169257552181928/MEANTIME//,FIN44169257552181928,MEANTIME,,,8,3.0,3
86,FIN44169862126831978/MEANTIME//,FIN44169862126831978,MEANTIME,,,4,4.0,4
87,FIN44170042898462974/MEANTIME//,FIN44170042898462974,MEANTIME,,,7,5.143,7
88,FIN44170365610041271/MEANTIME//,FIN44170365610041271,MEANTIME,,,6,0.278,3
89,FIN44170377280523656/MEANTIME//,FIN44170377280523656,MEANTIME,,,4,4.0,4
90,FIN44177585544056899/MEANTIME//,FIN44177585544056899,MEANTIME,,,4,4.0,4
91,FIN44177783736308455/MEANTIME//,FIN44177783736308455,MEANTIME,,,4,4.0,4
92,FIN44178004697999409/MEANTIME//,FIN44178004697999409,MEANTIME,,,4,4.0,3
93,FIN44178244692658833/MEANTIME//,FIN44178244692658833,MEANTIME,,,5,3.2,5
94,FIN44178684584105327/MEANTIME//,FIN44178684584105327,MEANTIME,,,1,1.0,1
95,FIN44179238026550995/MEANTIME//,FIN44179238026550995,MEANTIME,,,4,4.0,4
96,FIN44179241464919056/MEANTIME//,FIN44179241464919056,MEANTIME,,,3,3.0,3
97,FIN44179244168342519/MEANTIME//,FIN44179244168342519,MEANTIME,,,8,1.0,4
98,FIN44179668793765307/MEANTIME//,FIN44179668793765307,MEANTIME,,,3,3.0,3
99,FIN44180019212535054/MEANTIME//,FIN44180019212535054,MEANTIME,,,4,4.0,4
100,FIN44180100434558173/MEANTIME//,FIN44180100434558173,MEANTIME,,,4,4.0,4
101,FIN45375014210858773/MEANTIME//,FIN45375014210858773,MEANTIME,,,8,6.0,6
102,FIN45378095958232419/MEANTIME//,FIN45378095958232419,MEANTIME,,,4,4.0,4
103,FIN45378146113690446/MEANTIME//,FIN45378146113690446,MEANTIME,,,7,5.0,5
104,FIN45379890707582984/MEANTIME//,FIN45379890707582984,MEANTIME,,,7,6.0,5
105,FIN45379912795619839/MEANTIME//,FIN45379912795619839,MEANTIME,,,3,3.0,3
106,FIN45379935914596337/MEANTIME//,FIN45379935914596337,MEANTIME,,,2,2.0,2
107,FIN45380706320380565/MEANTIME//,FIN45380706320380565,MEANTIME,,,8,3.938,5
108,FIN45380767557577374/MEANTIME//,FIN45380767557577374,MEANTIME,,,3,3.0,3
109,FIN45380815065658778/MEANTIME//,FIN45380815065658778,MEANTIME,,,4,4.0,4
110,FIN45380869514546561/MEANTIME//,FIN45380869514546561,MEANTIME,,,4,4.0,4
111,FIN45381685366548727/MEANTIME//,FIN45381685366548727,MEANTIME,,,3,3.0,3
112,FIN45381962929242562/MEANTIME//,FIN45381962929242562,MEANTIME,,,7,7.0,7
113,FIN45381985929931930/MEANTIME//,FIN45381985929931930,MEANTIME,,,4,4.0,4
114,FIN45384615594082418/MEANTIME//,FIN45384615594082418,MEANTIME,,,3,3.0,3
115,FIN45384635587280361/MEANTIME//,FIN45384635587280361,MEANTIME,,,5,5.0,5
116,FIN45385855451596847/MEANTIME//,FIN45385855451596847,MEANTIME,,,11,6.364,8
117,FIN45386698819339360/MEANTIME//,FIN45386698819339360,MEANTIME,,,4,4.0,4
118,FIN45386908812393870/MEANTIME//,FIN45386908812393870,MEANTIME,,,3,3.0,3
119,FIN45386938418601553/MEANTIME//,FIN45386938418601553,MEANTIME,,,12,0.444,4
120,FIN45387210505233058/MEANTIME//,FIN45387210505233058,MEANTIME,,,10,6.3,8
121,FIN45387237066281632/MEANTIME//,FIN45387237066281632,MEANTIME,,,3,3.0,3
122,FIN45387266010189094/MEANTIME//,FIN45387266010189094,MEANTIME,,,28,13.429,16
123,FIN45387299361454054/MEANTIME//,FIN45387299361454054,MEANTIME,,,4,4.0,4
124,FIN45387692111609939/MEANTIME//,FIN45387692111609939,MEANTIME,,,3,3.0,3
125,FIN45387920585914443/MEANTIME//,FIN45387920585914443,MEANTIME,,,5,5.0,5
126,FIN45388019616399088/MEANTIME//,FIN45388019616399088,MEANTIME,,,9,2.0,4
127,FIN45388042835765340/MEANTIME//,FIN45388042835765340,MEANTIME,,,3,3.0,3
128,FIN45819838926436726/MEANTIME//,FIN45819838926436726,MEANTIME,,,4,4.0,4
129,FIN45819876280517888/MEANTIME//,FIN45819876280517888,MEANTIME,,,4,4.0,4
130,FIN45820651838632198/MEANTIME//,FIN45820651838632198,MEANTIME,,,4,4.0,4
131,FIN45903557688208853/MEANTIME//,FIN45903557688208853,MEANTIME,,,4,4.0,4
132,FIN46394233003958379/MEANTIME//,FIN46394233003958379,MEANTIME,,,5,4.0,4
133,FIN46394265082902046/MEANTIME//,FIN46394265082902046,MEANTIME,,,9,4.148,5
134,FIN46419614611241826/MEANTIME//,FIN46419614611241826,MEANTIME,,,3,3.0,3
135,FIN47024731567885425/MEANTIME//,FIN47024731567885425,MEANTIME,,,2,2.0,2
136,FIN47026148851416382/MEANTIME//,FIN47026148851416382,MEANTIME,,,4,4.0,4
137,FIN47026500320042741/MEANTIME//,FIN47026500320042741,MEANTIME,,,3,3.0,3
138,FIN47027865268705287/MEANTIME//,FIN47027865268705287,MEANTIME,,,3,3.0,3
139,FIN47028040464426800/MEANTIME//,FIN47028040464426800,MEANTIME,,,3,3.0,3
140,FIN47028649425770689/MEANTIME//,FIN47028649425770689,MEANTIME,,,3,3.0,3
141,FIN47029569424273232/MEANTIME//,FIN47029569424273232,MEANTIME,,,1,1.0,1
142,FIN47029590005573211/MEANTIME//,FIN47029590005573211,MEANTIME,,,1,1.0,1
143,FIN47029691247352086/MEANTIME//,FIN47029691247352086,MEANTIME,,,3,3.0,3
144,FIN47030262768688037/MEANTIME//,FIN47030262768688037,MEANTIME,,,3,3.0,3
145,FIN47037442917811061/MEANTIME//,FIN47037442917811061,MEANTIME,,,4,4.0,4
146,FIN47037936525092512/MEANTIME//,FIN47037936525092512,MEANTIME,,,9,6.0,6
147,FIN47042131636883213/MEANTIME//,FIN47042131636883213,MEANTIME,,,4,4.0,4
148,FIN47045052585354114/MEANTIME//,FIN47045052585354114,MEANTIME,,,5,5.0,5
149,FIN47045200079346523/MEANTIME//,FIN47045200079346523,MEANTIME,,,3,3.0,3
150,FIN47045359275125495/MEANTIME//,FIN47045359275125495,MEANTIME,,,3,3.0,3
151,FIN47047203004814281/MEANTIME//,FIN47047203004814281,MEANTIME,,,4,4.0,4
152,FIN47082360918924112/MEANTIME//,FIN47082360918924112,MEANTIME,,,3,3.0,3
153,FIN47183821290902719/MEANTIME//,FIN47183821290902719,MEANTIME,,,3,3.0,3
154,FIN4URuWnmMxqNPLC2ae/MEANTIME//,FIN4URuWnmMxqNPLC2ae,MEANTIME,,,1,1.0,1
155,FIN4oiq5HSRMpfq5q7P9/MEANTIME//,FIN4oiq5HSRMpfq5q7P9,MEANTIME,,,2,2.0,2
156,FIN52oV2Fd2MGj9fHRGv/MEANTIME//,FIN52oV2Fd2MGj9fHRGv,MEANTIME,,,1,1.0,1
157,FIN5558gj7Neg2fnKYn7/MEANTIME//,FIN5558gj7Neg2fnKYn7,MEANTIME,,,1,1.0,1
158,FIN55740608314660347/MEANTIME//,FIN55740608314660347,MEANTIME,,,4,4.0,4
159,FIN55740615736388646/MEANTIME//,FIN55740615736388646,MEANTIME,,,4,4.0,4
160,FIN55759842752069335/MEANTIME//,FIN55759842752069335,MEANTIME,,,4,4.0,4
161,FIN55761332965798032/MEANTIME//,FIN55761332965798032,MEANTIME,,,4,4.0,4
162,FIN55895364482390762/MEANTIME//,FIN55895364482390762,MEANTIME,,,4,4.0,4
163,FIN55895409053689066/MEANTIME//,FIN55895409053689066,MEANTIME,,,3,3.0,3
164,FIN55896206410543487/MEANTIME//,FIN55896206410543487,MEANTIME,,,12,4.25,5
165,FIN55899157220703028/MEANTIME//,FIN55899157220703028,MEANTIME,,,6,5.0,5
166,FIN56155445956462369/MEANTIME//,FIN56155445956462369,MEANTIME,,,2,2.0,2
167,FIN5qVWqEXk6KFTuc7bT/MEANTIME//,FIN5qVWqEXk6KFTuc7bT,MEANTIME,,,2,2.0,2
168,FIN5wSbF4sRcJDmvEfra/MEANTIME//,FIN5wSbF4sRcJDmvEfra,MEANTIME,,,1,1.0,1
169,FIN6D3Jaa9Dzq2ztkRRN/MEANTIME//,FIN6D3Jaa9Dzq2ztkRRN,MEANTIME,,,1,1.0,1
170,FIN6YCupXi9V6jeuQ5x3/MEANTIME//,FIN6YCupXi9V6jeuQ5x3,MEANTIME,,,3,2.0,2
171,FIN7Daq8QVi9ndWC53j4/MEANTIME//,FIN7Daq8QVi9ndWC53j4,MEANTIME,,,1,1.0,1
172,FIN7TAKMxbWXMQA8HXyf/MEANTIME//,FIN7TAKMxbWXMQA8HXyf,MEANTIME,,,2,2.0,2
173,FIN7bjAfEPoPX4yy57Kr/MEANTIME//,FIN7bjAfEPoPX4yy57Kr,MEANTIME,,,2,2.0,2
174,FIN8CS6X5xJex6boEYLo/MEANTIME//,FIN8CS6X5xJex6boEYLo,MEANTIME,,,2,2.0,2
175,FIN8qdLvFx7JoVFk5fVD/MEANTIME//,FIN8qdLvFx7JoVFk5fVD,MEANTIME,,,1,1.0,1
176,FINAf49oo2yJ45pKkmkC/MEANTIME//,FINAf49oo2yJ45pKkmkC,MEANTIME,,,3,3.0,3
177,FINBjoWXuwkQwpyxWG4L/MEANTIME//,FINBjoWXuwkQwpyxWG4L,MEANTIME,,,1,1.0,1
178,FINC9ipCn4dnrQBLhV5f/MEANTIME//,FINC9ipCn4dnrQBLhV5f,MEANTIME,,,1,1.0,1
179,FINCS72xbXN9w9RKzZGL/MEANTIME//,FINCS72xbXN9w9RKzZGL,MEANTIME,,,1,1.0,1
180,FINCuqitDGyWKBfrmNVG/MEANTIME//,FINCuqitDGyWKBfrmNVG,MEANTIME,,,1,1.0,1
181,FINCvQ8UzaMGdQKQhuzc/MEANTIME//,FINCvQ8UzaMGdQKQhuzc,MEANTIME,,,1,1.0,1
182,FINEkRceRXN2dhk9uQPh/MEANTIME//,FINEkRceRXN2dhk9uQPh,MEANTIME,,,1,1.0,1
183,FINHsA8iwC7Nr5ZT2Rwm/MEANTIME//,FINHsA8iwC7Nr5ZT2Rwm,MEANTIME,,,2,1.0,1
184,FINHyfkQGWBUyTf7z2xB/MEANTIME//,FINHyfkQGWBUyTf7z2xB,MEANTIME,,,1,1.0,1
185,FINJKDzmhNtS4V2bStUx/MEANTIME//,FINJKDzmhNtS4V2bStUx,MEANTIME,,,1,1.0,1
186,FINJnk2C8DzFfeUYdeNE/MEANTIME//,FINJnk2C8DzFfeUYdeNE,MEANTIME,,,1,1.0,1
187,FINKAaB5siimYyJYomyP/MEANTIME//,FINKAaB5siimYyJYomyP,MEANTIME,,,1,1.0,1
188,FINKQgwdd4UG8QJPv3so/MEANTIME//,FINKQgwdd4UG8QJPv3so,MEANTIME,,,1,1.0,1
189,FINKdLrWEGZdX3az67m2/MEANTIME//,FINKdLrWEGZdX3az67m2,MEANTIME,,,1,1.0,1
190,FINMMEvAYHtsfPBfgZfa/MEANTIME//,FINMMEvAYHtsfPBfgZfa,MEANTIME,,,1,1.0,1
191,FINN2jUt7LZ6248Fwtzj/MEANTIME//,FINN2jUt7LZ6248Fwtzj,MEANTIME,,,1,1.0,1
192,FINNozBmmgZW4kvdT28W/MEANTIME//,FINNozBmmgZW4kvdT28W,MEANTIME,,,1,1.0,1
193,FINPiiwH86GbymdQQ2bX/MEANTIME//,FINPiiwH86GbymdQQ2bX,MEANTIME,,,2,2.0,2
194,FINPoJzYV6pv3vkcfmHx/MEANTIME//,FINPoJzYV6pv3vkcfmHx,MEANTIME,,,1,1.0,1
195,FINQYxYKY4BS3M4RdcNq/MEANTIME//,FINQYxYKY4BS3M4RdcNq,MEANTIME,,,1,1.0,1
196,FINQZ5PhwJiy8V4qqM87/MEANTIME//,FINQZ5PhwJiy8V4qqM87,MEANTIME,,,1,1.0,1
197,FINQhBxMj63mW7CBMjBf/MEANTIME//,FINQhBxMj63mW7CBMjBf,MEANTIME,,,1,1.0,1
198,FINSURT5kTRY4qHbeN3x/MEANTIME//,FINSURT5kTRY4qHbeN3x,MEANTIME,,,1,1.0,1
199,FINT5CbHCcTvXFNp4ZSB/MEANTIME//,FINT5CbHCcTvXFNp4ZSB,MEANTIME,,,1,1.0,1
200,FINTuEswx7tznxXEvaBt/MEANTIME//,FINTuEswx7tznxXEvaBt,MEANTIME,,,1,1.0,1
201,FINTupF3sgJ8wNunv3aN/MEANTIME//,FINTupF3sgJ8wNunv3aN,MEANTIME,,,1,1.0,1
202,FINWb4ty9zRKmk9bkn7K/MEANTIME//,FINWb4ty9zRKmk9bkn7K,MEANTIME,,,1,1.0,1
203,FINWfNTLZsfdWSNgczVW/MEANTIME//,FINWfNTLZsfdWSNgczVW,MEANTIME,,,1,1.0,1
204,FINXepsQn6GVEQpnxP6k/MEANTIME//,FINXepsQn6GVEQpnxP6k,MEANTIME,,,1,1.0,1
205,FINXrE9BPwcT8q5f5UEy/MEANTIME//,FINXrE9BPwcT8q5f5UEy,MEANTIME,,,1,1.0,1
206,FINXueLoCXnLvFZaQMNX/MEANTIME//,FINXueLoCXnLvFZaQMNX,MEANTIME,,,2,1.0,1
207,FINYAHASKrSbvbsvpSJP/MEANTIME//,FINYAHASKrSbvbsvpSJP,MEANTIME,,,1,1.0,1
208,FINYDzLsaiBN6Teevysn/MEANTIME//,FINYDzLsaiBN6Teevysn,MEANTIME,,,1,1.0,1
209,FINaPFQ2PTSPPqS4fBCR/MEANTIME//,FINaPFQ2PTSPPqS4fBCR,MEANTIME,,,1,1.0,1
210,FINaeoxYUgM9LaiDFrbF/MEANTIME//,FINaeoxYUgM9LaiDFrbF,MEANTIME,,,2,2.0,2
211,FINbsVV3GFPuGQ7JJgqr/MEANTIME//,FINbsVV3GFPuGQ7JJgqr,MEANTIME,,,1,1.0,1
212,FINcgD5NeyhG7KYTiXgK/MEANTIME//,FINcgD5NeyhG7KYTiXgK,MEANTIME,,,1,1.0,1
213,FINckhfcDhRapseLhSBx/MEANTIME//,FINckhfcDhRapseLhSBx,MEANTIME,,,1,1.0,1
214,FINcxPgWgvc2ks7gAB7z/MEANTIME//,FINcxPgWgvc2ks7gAB7z,MEANTIME,,,1,1.0,1
215,FINdLDdxunEUyXCxQTgi/MEANTIME//,FINdLDdxunEUyXCxQTgi,MEANTIME,,,1,1.0,1
216,FINdwyDz7A8csMK5DJvL/MEANTIME//,FINdwyDz7A8csMK5DJvL,MEANTIME,,,1,1.0,1
217,FINecDex69QdrYLVFNLk/MEANTIME//,FINecDex69QdrYLVFNLk,MEANTIME,,,1,1.0,1
218,FINfALdkyvwZK2FK9fzB/MEANTIME//,FINfALdkyvwZK2FK9fzB,MEANTIME,,,2,2.0,2
219,FINfU989eWEMSWPQphwB/MEANTIME//,FINfU989eWEMSWPQphwB,MEANTIME,,,1,1.0,1
220,FINg2GtsV5x7ubuJSCTw/MEANTIME//,FINg2GtsV5x7ubuJSCTw,MEANTIME,,,1,1.0,1
221,FINgKmJhxeyuU4FrtaUi/MEANTIME//,FINgKmJhxeyuU4FrtaUi,MEANTIME,,,1,1.0,1
222,FINgXvxDVHtmsuwYRZhh/MEANTIME//,FINgXvxDVHtmsuwYRZhh,MEANTIME,,,1,1.0,1
223,FINgrfMJz4nfeGYQEhzJ/MEANTIME//,FINgrfMJz4nfeGYQEhzJ,MEANTIME,,,1,1.0,1
224,FINhN42c6skkfp5mQgSF/MEANTIME//,FINhN42c6skkfp5mQgSF,MEANTIME,,,3,3.0,3
225,FINhU2JQNd9Knm9z3Gbq/MEANTIME//,FINhU2JQNd9Knm9z3Gbq,MEANTIME,,,1,1.0,1
226,FINheGHQ9N88Pw8PMANn/MEANTIME//,FINheGHQ9N88Pw8PMANn,MEANTIME,,,3,3.0,3
227,FINhiQkiRGrFvzaRi4QN/MEANTIME//,FINhiQkiRGrFvzaRi4QN,MEANTIME,,,3,2.0,2
228,FINhmjUYRRd5UgQ5QhaG/MEANTIME//,FINhmjUYRRd5UgQ5QhaG,MEANTIME,,,1,1.0,1
229,FINi8c8HuUS5K8fTesHL/MEANTIME//,FINi8c8HuUS5K8fTesHL,MEANTIME,,,1,1.0,1
230,FINiKqWFYewm7Qz3FGBL/MEANTIME//,FINiKqWFYewm7Qz3FGBL,MEANTIME,,,3,0.111,1
231,FINicgbWPJN9qYgvFjGm/MEANTIME//,FINicgbWPJN9qYgvFjGm,MEANTIME,,,1,1.0,1
232,FINid8oijzKYLrWF3zGm/MEANTIME//,FINid8oijzKYLrWF3zGm,MEANTIME,,,1,1.0,1
233,FINiyhdHFoGaZ64mNRki/MEANTIME//,FINiyhdHFoGaZ64mNRki,MEANTIME,,,1,1.0,1
234,FINkBgKVDp8BWBDh9nED/MEANTIME//,FINkBgKVDp8BWBDh9nED,MEANTIME,,,1,1.0,1
235,FINmP7gpURpS4dZBVaEW/MEANTIME//,FINmP7gpURpS4dZBVaEW,MEANTIME,,,1,1.0,1
236,FINmXyumUjTh7oTrgy8K/MEANTIME//,FINmXyumUjTh7oTrgy8K,MEANTIME,,,1,1.0,1
237,FINmYXyBjR9ANivEnzA5/MEANTIME//,FINmYXyBjR9ANivEnzA5,MEANTIME,,,1,1.0,1
238,FINn8qGuX2cnhnaD5n7Q/MEANTIME//,FINn8qGuX2cnhnaD5n7Q,MEANTIME,,,4,4.0,4
239,FINnQWEXJnNAgfHXBRQa/MEANTIME//,FINnQWEXJnNAgfHXBRQa,MEANTIME,,,1,1.0,1
240,FINoLQHFW8M8Q3dnSUe9/MEANTIME//,FINoLQHFW8M8Q3dnSUe9,MEANTIME,,,1,1.0,1
241,FINoLZvLxN6wi2SpNoJ9/MEANTIME//,FINoLZvLxN6wi2SpNoJ9,MEANTIME,,,1,1.0,1
242,FJTwJGCJGyndvuTnR/MEANTIME//,FJTwJGCJGyndvuTnR,MEANTIME,,,1,1.0,1
243,GHKpLCWR7NedPrywc/MEANTIME//,GHKpLCWR7NedPrywc,MEANTIME,,,1,1.0,1
244,GPFBPZbzeDxb4bFTd/MEANTIME//,GPFBPZbzeDxb4bFTd,MEANTIME,,,1,1.0,1
245,GRA22pXztsqcy8jiVPUY/MEANTIME//,GRA22pXztsqcy8jiVPUY,MEANTIME,,,1,1.0,1
246,GRA25HMHRW9nAJRuVh3Y/MEANTIME//,GRA25HMHRW9nAJRuVh3Y,MEANTIME,,,1,1.0,1
247,GRA2KsztjJQstgHa7pyr/MEANTIME//,GRA2KsztjJQstgHa7pyr,MEANTIME,,,1,1.0,1
248,GRA2QQ8sDtoNBXTz2URz/MEANTIME//,GRA2QQ8sDtoNBXTz2URz,MEANTIME,,,1,1.0,1
249,GRA2QXZLfZh9oRG6z6mx/MEANTIME//,GRA2QXZLfZh9oRG6z6mx,MEANTIME,,,2,0.5,2
250,GRA2QeyZuNYzLiaF2UmA/MEANTIME//,GRA2QeyZuNYzLiaF2UmA,MEANTIME,,,3,3.0,3
251,GRA2RSdNpwGwdKwAir5y/MEANTIME//,GRA2RSdNpwGwdKwAir5y,MEANTIME,,,3,3.0,3
