,dataset,topic,language,topics,subtopics,documents,tokens,mean_doc_size,coref_chain,mentions,mean_mention_density,singletons,cross-topic-chains,cross-topic-mentions,coref_chain_entity,coref_chain_event,mentions_entity,mentions_event,singletons_entity,singletons_event,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_avg_all,unique_lemmas_sum_all,lexical_ambiguity_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_avg_wo_singl,unique_lemmas_sum_wo_singl,lexical_ambiguity_wo_singl
ECBplus\3\,ECBplus,3,,1,2,20,7697,384.85,129,336,16.8,77,0,0,103,26,239,97,73,4,2.6,2.09,1.52,196,1.31,6.05,2.47,2.63,108,1.31
ECBplus\30\,ECBplus,30,,1,2,27,8624,319.41,241,589,21.81,193,0,0,221,20,420,169,192,1,2.44,1.64,1.41,340,1.77,8.57,1.96,3.15,145,1.77
ECBplus\31\,ECBplus,31,,1,2,25,15801,632.04,204,473,18.92,167,1,14,185,19,354,119,167,0,2.32,1.23,1.25,256,1.66,9.15,1.37,2.58,85,1.66
ECBplus\32\,ECBplus,32,,1,2,19,5550,292.11,95,335,17.63,59,0,0,76,19,227,108,54,5,3.53,1.2,1.53,145,1.39,8.06,1.24,2.47,84,1.39
ECBplus\33\,ECBplus,33,,1,2,16,6767,422.94,162,441,27.56,109,0,0,134,28,297,144,107,2,2.72,1.81,1.54,249,1.41,7.2,2.1,2.93,132,1.41
ECBplus\34\,ECBplus,34,,1,2,27,8231,304.85,150,794,29.41,258,2,148,140,10,636,158,254,4,5.29,0.55,1.49,224,1.34,5.29,0.55,1.49,224,1.34
ECBplus\35\,ECBplus,35,,1,2,21,6047,287.95,67,302,14.38,39,2,26,50,17,157,145,38,1,4.51,0.83,1.54,103,1.29,9.39,0.8,2.29,64,1.29
ECBplus\36\,ECBplus,36,,1,2,19,12772,672.21,121,323,17.0,73,1,10,94,27,217,106,68,5,2.67,1.28,1.4,169,1.25,5.59,1.36,2.09,92,1.25
ECBplus\37\,ECBplus,37,,1,2,21,7876,375.05,131,411,19.57,75,3,13,94,37,216,195,73,2,3.14,1.4,1.56,204,1.66,6.49,1.5,2.43,124,1.66
ECBplus\38\,ECBplus,38,,1,2,15,2861,190.73,64,217,14.47,38,3,30,51,13,128,89,35,3,3.39,1.79,1.67,107,1.53,7.12,1.96,2.72,68,1.53
ECBplus\39\,ECBplus,39,,1,2,25,7819,312.76,105,319,12.76,72,6,93,90,15,252,67,70,2,3.04,2.03,1.77,186,1.47,8.64,2.35,3.89,109,1.47
ECBplus\4\,ECBplus,4,,1,2,24,9762,406.75,97,277,11.54,68,0,0,77,20,190,87,62,6,2.86,1.42,1.46,142,1.14,8.5,1.57,2.88,69,1.14
ECBplus\40\,ECBplus,40,,1,2,21,10765,512.62,96,246,11.71,68,3,41,83,13,172,74,67,1,2.56,1.2,1.47,141,1.3,6.36,1.28,2.61,73,1.3
ECBplus\41\,ECBplus,41,,1,2,20,13840,692.0,207,471,23.55,146,0,0,170,37,349,122,135,11,2.28,2.5,1.46,302,1.52,5.98,3.22,2.79,148,1.52
ECBplus\42\,ECBplus,42,,1,2,23,4991,217.0,73,283,12.3,45,4,79,58,15,199,84,44,1,3.88,1.53,1.82,133,1.36,8.5,1.63,3.14,88,1.36
ECBplus\43\,ECBplus,43,,1,2,23,14809,643.87,221,521,22.65,192,2,95,204,17,405,116,190,2,2.36,1.65,1.36,300,1.36,13.5,2.04,4.29,103,1.36
ECBplus\44\,ECBplus,44,,1,2,19,8137,428.26,216,519,27.32,185,1,73,194,22,366,153,183,2,2.4,1.37,1.34,290,1.44,11.82,1.58,3.64,102,1.44
ECBplus\45\,ECBplus,45,,1,2,20,4301,215.05,143,513,25.65,87,0,0,109,34,318,195,84,3,3.59,0.74,1.41,202,1.32,8.25,0.68,2.16,110,1.32
ECBplus\5\,ECBplus,5,,1,2,23,9762,424.43,73,219,9.52,54,2,60,64,9,164,55,53,1,3.0,1.82,1.67,122,1.12,9.59,2.11,3.88,66,1.12
ECBplus\6\,ECBplus,6,,1,2,20,7081,354.05,63,210,10.5,41,0,0,52,11,133,77,40,1,3.33,1.38,1.56,98,1.27,7.68,1.47,2.59,57,1.27
ECBplus\7\,ECBplus,7,,1,2,21,6559,312.33,52,230,10.95,23,1,33,37,15,145,85,21,2,4.42,0.97,1.65,86,1.34,8.74,0.96,2.48,57,1.34
ECBplus\8\,ECBplus,8,,1,2,19,10261,540.05,70,238,12.53,25,0,0,43,27,142,96,22,3,3.4,1.39,1.56,109,1.16,5.42,1.45,2.03,77,1.16
ECBplus\9\,ECBplus,9,,1,2,23,14638,636.43,85,220,9.57,55,9,83,71,14,167,53,53,2,2.59,1.42,1.4,119,1.18,5.82,1.57,2.21,62,1.18
ECBplus\\,ECBplus,,,43,86,976,377367,386.65,4886,15491,15.87,3387,67,1386,3950,936,10412,5079,3237,150,3.17,1.39,1.51,7375,2.74,7.66,1.5,2.56,4081,2.74
ECBplus_unvalidated\1\,ECBplus_unvalidated,1,,1,2,39,6820,174.87,427,1316,33.74,305,0,0,218,209,823,493,166,139,3.08,1.56,1.44,613,1.71,8.29,1.73,2.52,308,1.71
ECBplus_unvalidated\10\,ECBplus_unvalidated,10,,1,2,21,6738,320.86,182,365,17.38,153,3,61,171,11,305,60,151,2,2.01,1.14,1.18,214,1.45,7.1,1.23,2.07,62,1.45
ECBplus_unvalidated\11\,ECBplus_unvalidated,11,,1,2,16,4304,269.0,115,225,14.06,91,4,40,104,11,171,54,90,1,1.96,1.09,1.2,138,1.28,5.4,1.15,1.92,48,1.28
ECBplus_unvalidated\12\,ECBplus_unvalidated,12,,1,2,30,10337,344.57,135,470,15.67,92,3,85,108,27,314,156,87,5,3.48,0.91,1.44,194,1.46,8.79,0.89,2.37,102,1.46
ECBplus_unvalidated\13\,ECBplus_unvalidated,13,,1,2,33,11145,337.73,187,410,12.42,153,4,71,164,23,283,127,144,9,2.19,1.18,1.21,227,1.36,7.03,1.28,2.08,77,1.36
ECBplus_unvalidated\14\,ECBplus_unvalidated,14,,1,2,21,3596,171.24,113,268,12.76,88,0,0,102,11,181,87,88,0,2.37,1.29,1.31,148,1.36,7.2,1.44,2.4,60,1.36
ECBplus_unvalidated\16\,ECBplus_unvalidated,16,,1,2,14,8447,603.36,231,496,35.43,192,0,0,206,25,374,122,186,6,2.15,1.85,1.31,302,1.45,7.79,2.39,2.82,110,1.45
ECBplus_unvalidated\18\,ECBplus_unvalidated,18,,1,2,27,12466,461.7,176,597,22.11,126,0,0,149,27,389,208,124,2,3.39,1.55,1.55,272,1.51,9.42,1.7,2.92,146,1.51
ECBplus_unvalidated\19\,ECBplus_unvalidated,19,,1,2,25,15440,617.6,223,585,23.4,169,0,0,185,38,388,197,160,9,2.62,1.7,1.47,328,1.4,7.7,1.99,2.94,159,1.4
ECBplus_unvalidated\2\,ECBplus_unvalidated,2,,1,2,21,8703,414.43,342,1018,48.48,268,2,29,286,56,646,372,252,16,2.98,1.09,1.41,482,1.64,10.01,1.12,2.87,215,1.64
ECBplus_unvalidated\20\,ECBplus_unvalidated,20,,1,2,16,5114,319.62,228,486,30.38,181,1,18,208,20,337,149,179,2,2.13,1.67,1.34,306,1.67,6.49,2.07,2.66,125,1.67
ECBplus_unvalidated\21\,ECBplus_unvalidated,21,,1,2,26,7433,285.88,154,716,27.54,97,0,0,120,34,416,300,95,2,4.65,0.95,1.55,239,1.47,10.86,0.95,2.49,142,1.47
ECBplus_unvalidated\22\,ECBplus_unvalidated,22,,1,2,23,6155,267.61,165,511,22.22,117,0,0,141,24,343,168,116,1,3.1,1.48,1.48,244,1.43,8.21,1.62,2.65,127,1.43
ECBplus_unvalidated\23\,ECBplus_unvalidated,23,,1,2,21,3709,176.62,139,448,21.33,105,2,35,125,14,306,142,105,0,3.22,1.44,1.47,205,1.7,10.09,1.58,2.94,100,1.7
ECBplus_unvalidated\24\,ECBplus_unvalidated,24,,1,2,26,3831,147.35,153,514,19.77,111,1,8,135,18,371,143,110,1,3.36,1.42,1.46,224,1.76,9.6,1.53,2.69,113,1.76
ECBplus_unvalidated\25\,ECBplus_unvalidated,25,,1,2,26,7608,292.62,161,493,18.96,131,1,57,146,15,337,156,131,0,3.06,0.81,1.3,209,1.66,12.07,0.74,2.6,78,1.66
ECBplus_unvalidated\26\,ECBplus_unvalidated,26,,1,2,24,9227,384.46,151,563,23.46,114,0,0,135,16,379,184,114,0,3.73,1.36,1.46,220,1.37,12.14,1.45,2.86,106,1.37
ECBplus_unvalidated\27\,ECBplus_unvalidated,27,,1,2,28,11621,415.04,863,1348,48.14,825,5,191,835,28,1191,157,816,9,1.56,1.29,1.11,962,2.64,13.12,1.74,3.48,139,2.64
ECBplus_unvalidated\28\,ECBplus_unvalidated,28,,1,2,25,14735,589.4,1047,1467,58.68,1007,4,65,1020,27,1269,198,1002,5,1.4,0.94,1.07,1120,3.11,10.77,0.81,2.7,116,3.11
ECBplus_unvalidated\29\,ECBplus_unvalidated,29,,1,2,24,14987,624.46,593,1019,42.46,555,2,85,573,20,834,185,552,3,1.72,1.2,1.13,668,2.4,12.21,1.44,2.97,113,2.4
ECBplus_unvalidated\3\,ECBplus_unvalidated,3,,1,2,20,7697,384.85,370,820,41.0,304,0,0,332,38,627,193,298,6,2.22,1.4,1.27,471,1.8,7.82,1.63,2.53,167,1.8
ECBplus_unvalidated\30\,ECBplus_unvalidated,30,,1,2,27,8624,319.41,658,1122,41.56,602,0,0,636,22,909,213,601,1,1.71,1.41,1.19,780,2.43,9.29,1.89,3.18,178,2.43
ECBplus_unvalidated\31\,ECBplus_unvalidated,31,,1,2,25,15801,632.04,539,929,37.16,502,1,17,519,20,769,160,501,1,1.72,1.18,1.13,609,2.32,11.54,1.4,2.89,107,2.32
ECBplus_unvalidated\32\,ECBplus_unvalidated,32,,1,2,19,5550,292.11,474,780,41.05,436,0,0,452,22,652,128,430,6,1.65,1.11,1.13,536,2.29,9.05,1.25,2.63,100,2.29
ECBplus_unvalidated\33\,ECBplus_unvalidated,33,,1,2,16,6767,422.94,664,1117,69.81,609,0,0,633,31,918,199,605,4,1.68,1.66,1.21,803,2.31,9.24,2.46,3.53,194,2.31
ECBplus_unvalidated\34\,ECBplus_unvalidated,34,,1,2,28,8231,293.96,798,2282,81.5,1542,4,330,786,12,2082,200,1538,4,2.86,0.4,1.13,898,2.16,2.86,0.4,1.13,898,2.16
ECBplus_unvalidated\35\,ECBplus_unvalidated,35,,1,2,21,6047,287.95,634,912,43.43,602,2,32,614,20,745,167,600,2,1.44,0.97,1.07,678,3.36,9.42,0.9,2.33,77,3.36
ECBplus_unvalidated\36\,ECBplus_unvalidated,36,,1,2,20,12772,638.6,713,1050,52.5,658,1,20,678,35,895,155,649,9,1.47,1.17,1.11,788,2.28,7.13,1.46,2.36,130,2.28
ECBplus_unvalidated\37\,ECBplus_unvalidated,37,,1,2,21,7876,375.05,650,1038,49.43,592,3,25,611,39,783,255,588,4,1.6,1.22,1.14,744,3.25,7.47,1.51,2.57,154,3.25
ECBplus_unvalidated\38\,ECBplus_unvalidated,38,,1,2,15,2861,190.73,145,322,21.47,115,3,34,128,17,215,107,112,3,2.22,1.71,1.34,195,1.83,6.9,2.1,2.67,80,1.83
ECBplus_unvalidated\39\,ECBplus_unvalidated,39,,1,2,25,7819,312.76,419,738,29.52,382,6,124,399,20,641,97,377,5,1.76,1.73,1.26,526,2.22,9.62,2.52,3.89,144,2.22
ECBplus_unvalidated\4\,ECBplus_unvalidated,4,,1,2,24,9762,406.75,163,449,18.71,125,0,0,140,23,333,116,118,7,2.75,1.66,1.41,230,1.22,8.53,1.92,2.76,105,1.22
ECBplus_unvalidated\40\,ECBplus_unvalidated,40,,1,2,21,10765,512.62,312,519,24.71,283,3,51,297,15,422,97,281,2,1.66,1.17,1.18,367,1.81,7.68,1.38,2.77,86,1.81
ECBplus_unvalidated\41\,ECBplus_unvalidated,41,,1,2,20,13840,692.0,504,886,44.3,435,0,0,459,45,715,171,422,13,1.76,2.04,1.25,631,2.13,6.54,3.04,2.84,196,2.13
ECBplus_unvalidated\42\,ECBplus_unvalidated,42,,1,2,23,4991,217.0,201,443,19.26,172,4,90,186,15,351,92,171,1,2.2,1.4,1.33,268,1.64,9.34,1.66,3.31,96,1.64
ECBplus_unvalidated\43\,ECBplus_unvalidated,43,,1,2,23,14809,643.87,871,1430,62.17,835,4,183,851,20,1253,177,832,3,1.64,1.58,1.15,998,2.01,15.71,2.4,4.34,165,2.01
ECBplus_unvalidated\44\,ECBplus_unvalidated,44,,1,2,22,8137,369.86,707,1140,51.82,673,1,103,679,28,921,219,668,5,1.61,1.35,1.13,801,2.32,13.74,1.85,3.76,128,2.32
ECBplus_unvalidated\45\,ECBplus_unvalidated,45,,1,2,20,4301,215.05,524,1026,51.3,464,0,0,487,37,781,245,460,4,1.96,0.83,1.15,601,2.39,9.37,0.69,2.28,137,2.39
ECBplus_unvalidated\5\,ECBplus_unvalidated,5,,1,2,23,9762,424.43,154,378,16.43,134,2,86,143,11,307,71,131,3,2.45,1.74,1.42,218,1.29,12.2,2.14,4.2,84,1.29
ECBplus_unvalidated\6\,ECBplus_unvalidated,6,,1,2,20,7081,354.05,286,605,30.25,251,1,7,269,17,493,112,248,3,2.12,1.09,1.18,337,1.49,10.11,1.15,2.46,86,1.49
ECBplus_unvalidated\7\,ECBplus_unvalidated,7,,1,2,21,6559,312.33,219,694,33.05,163,2,101,180,39,463,231,160,3,3.17,0.79,1.3,284,1.72,9.48,0.73,2.16,121,1.72
ECBplus_unvalidated\8\,ECBplus_unvalidated,8,,1,2,19,10261,540.05,281,659,34.68,226,0,0,245,36,458,201,218,8,2.35,1.75,1.29,363,1.53,7.87,2.14,2.49,137,1.53
ECBplus_unvalidated\9\,ECBplus_unvalidated,9,,1,2,23,14638,636.43,364,756,32.87,326,14,224,347,17,608,148,323,3,2.08,1.48,1.19,433,1.78,10.8,1.85,2.72,109,1.78
ECBplus_unvalidated\\,ECBplus_unvalidated,,,43,86,982,377367,384.28,16428,33410,34.02,15311,83,2257,15195,1233,25998,7412,14999,312,2.03,1.27,1.21,19864,4.55,7.34,1.45,2.28,6116,4.55
MEANTIME\0\,MEANTIME,0,,1,30,120,42046,350.38,1250,6534,54.45,458,46,2489,473,784,4027,2507,162,296,5.23,6.67,3.08,3844,1.89,7.67,7.1,4.28,3386,1.89
MEANTIME\1\,MEANTIME,1,,1,30,120,43376,361.47,964,6100,50.83,214,40,2503,331,653,3810,2290,62,152,6.33,7.3,3.64,3511,1.95,7.85,7.53,4.4,3297,1.95
MEANTIME\2\,MEANTIME,2,,1,30,120,41873,348.94,1178,6424,53.53,405,38,2715,317,878,3787,2637,94,311,5.45,6.01,3.02,3553,2.04,7.8,6.34,4.08,3147,2.04
MEANTIME\3\,MEANTIME,3,,1,30,120,41932,349.43,1139,4925,41.04,404,46,1790,244,899,2417,2508,75,329,4.32,5.14,2.86,3255,2.3,6.15,5.51,3.88,2851,2.3
MEANTIME\\dutch,MEANTIME,,dutch,4,120,120,39665,330.54,2535,5440,45.33,773,132,2239,889,1659,3432,2008,221,552,2.15,2.47,1.38,3490,2.46,5.84,3.28,2.59,1555,2.46
MEANTIME\\english,MEANTIME,,english,4,120,120,40231,335.26,2975,6441,53.67,139,164,2746,814,2161,3761,2680,11,128,2.17,1.65,1.29,3838,2.72,6.07,2.01,2.26,1547,2.72
MEANTIME\\italian,MEANTIME,,italian,4,120,120,44538,371.15,2964,6007,50.06,274,151,2251,872,2096,3381,2626,72,202,2.03,2.35,1.32,3924,2.71,5.38,3.17,2.38,1654,2.71
MEANTIME\\spanish,MEANTIME,,spanish,4,120,120,44793,373.27,2954,6095,50.79,295,155,2338,862,2094,3467,2628,89,206,2.06,2.07,1.29,3825,2.67,5.3,2.68,2.19,1601,2.67
MEANTIME\\,MEANTIME,,,4,120,480,169227,352.56,4499,23983,49.96,1481,164,9664,1333,3214,14041,9942,393,1088,5.33,6.42,3.12,14024,2.82,7.46,6.78,4.16,12543,2.82
NP4E\0\,NP4E,0,,1,5,94,49860,530.43,668,6557,69.76,0,0,0,668,0,6557,0,0,0,9.82,1.32,2.63,1756,2.42,9.82,1.32,2.63,1756,2.42
NP4E\\,NP4E,,,1,5,94,49860,530.43,668,6557,69.76,0,0,0,668,0,6557,0,0,0,9.82,1.32,2.63,1756,2.42,9.82,1.32,2.63,1756,2.42
NiDENT\0\,NiDENT,0,,1,5,93,48440,520.86,4954,12876,138.45,3205,0,0,4954,0,12876,0,3205,0,2.6,1.19,1.29,6399,3.84,5.53,1.26,1.83,3194,3.84
NiDENT\\,NiDENT,,,1,5,93,48440,520.86,4954,12876,138.45,3205,0,0,4954,0,12876,0,3205,0,2.6,1.19,1.29,6399,3.84,5.53,1.26,1.83,3194,3.84
GVC\0\,GVC,0,,1,241,510,180534,353.99,1680,7298,14.31,635,0,0,0,1680,0,7298,0,635,4.34,1.87,2.3,3856,18.82,6.38,1.95,3.08,3221,18.82
GVC\\,GVC,,,1,241,510,180534,353.99,1680,7298,14.31,635,0,0,0,1680,0,7298,0,635,4.34,1.87,2.3,3856,18.82,6.38,1.95,3.08,3221,18.82
FCC\0\,FCC,0,,1,179,409,346306,846.71,218,2373,5.8,0,153,2289,0,218,0,2373,0,0,10.89,56.77,7.73,1686,2.88,13.83,57.97,9.74,1636,2.88
FCC\\,FCC,,,1,179,409,346306,846.71,218,2373,5.8,0,153,2289,0,218,0,2373,0,0,10.89,56.77,7.73,1686,2.88,13.83,57.97,9.74,1636,2.88
FCC_T\0\,FCC_T,0,,1,183,428,346306,809.13,469,3561,8.32,0,252,3303,0,469,0,3561,0,0,7.59,5.04,3.39,1589,4.7,11.89,5.26,4.94,1404,4.7
FCC_T\\,FCC_T,,,1,183,428,346306,809.13,469,3561,8.32,0,252,3303,0,469,0,3561,0,0,7.59,5.04,3.39,1589,4.7,11.89,5.26,4.94,1404,4.7
CD2CR\0\,CD2CR,0,,1,264,528,86580,163.98,5226,7601,14.4,4500,0,0,5226,0,7601,0,4500,0,1.45,2.95,1.3,6784,2.8,4.27,5.79,3.15,2284,2.8
CD2CR\\,CD2CR,,,1,264,528,86580,163.98,5226,7601,14.4,4500,0,0,5226,0,7601,0,4500,0,1.45,2.95,1.3,6784,2.8,4.27,5.79,3.15,2284,2.8
WECEng\0\,WECEng,0,,1,532,2019,266343,131.92,623,2397,1.19,69,119,677,0,623,0,2397,0,69,3.85,1.79,1.67,1043,3.79,4.7,1.84,1.88,899,3.79
WECEng\1\,WECEng,1,,1,1791,7513,1117638,148.76,2000,8982,1.2,199,555,3694,0,2000,0,8982,0,199,4.49,1.02,1.66,3327,6.17,5.23,1.02,1.8,2978,6.17
WECEng\10\,WECEng,10,,1,398,2304,343983,149.3,497,2726,1.18,26,151,1108,0,497,0,2726,0,26,5.48,1.47,1.69,838,2.99,6.74,1.49,1.88,729,2.99
WECEng\11\,WECEng,11,,1,452,2536,340614,134.31,565,2902,1.14,44,69,511,0,565,0,2902,0,44,5.14,2.24,1.93,1092,2.45,6.42,2.3,2.22,958,2.45
WECEng\12\,WECEng,12,,1,22,189,26104,138.12,33,209,1.11,2,4,89,0,33,0,209,0,2,6.33,4.13,2.12,70,1.58,9.8,4.33,2.85,57,1.58
WECEng\13\,WECEng,13,,1,5,56,7704,137.57,11,66,1.18,0,0,0,0,11,0,66,0,0,6.0,1.95,1.82,20,1.11,10.17,2.03,2.5,15,1.11
WECEng\14\,WECEng,14,,1,32,109,13964,128.11,33,121,1.11,10,4,51,0,33,0,121,0,10,3.67,1.77,1.3,43,3.13,5.0,1.85,1.45,32,3.13
WECEng\15\,WECEng,15,,1,549,3351,517369,154.39,812,4231,1.26,74,238,2470,0,812,0,4231,0,74,5.21,4.56,2.02,1643,3.48,7.06,4.78,2.47,1395,3.48
WECEng\16\,WECEng,16,,1,59,313,48219,154.05,91,402,1.28,10,25,156,0,91,0,402,0,10,4.42,3.08,1.71,156,1.58,6.27,3.26,2.1,124,1.58
WECEng\17\,WECEng,17,,1,138,653,75527,115.66,160,754,1.15,5,36,197,0,160,0,754,0,5,4.71,1.48,1.62,260,2.75,5.34,1.49,1.73,237,2.75
WECEng\2\,WECEng,2,,1,427,1258,113024,89.84,449,1647,1.31,56,128,627,0,449,0,1647,0,56,3.67,0.51,1.32,594,5.91,4.17,0.49,1.38,523,5.91
WECEng\3\,WECEng,3,,1,706,5044,795235,157.66,926,5900,1.17,67,210,2668,0,926,0,5900,0,67,6.37,4.8,2.47,2284,3.21,8.36,4.97,3.01,2034,3.21
WECEng\4\,WECEng,4,,1,887,3163,432978,136.89,962,3610,1.14,173,174,986,0,962,0,3610,0,173,3.75,0.71,1.24,1190,6.31,4.53,0.69,1.3,978,6.31
WECEng\5\,WECEng,5,,1,199,1502,148151,98.64,230,1743,1.16,26,73,959,0,230,0,1743,0,26,7.58,1.15,1.88,433,3.83,9.45,1.15,2.13,382,3.83
WECEng\6\,WECEng,6,,1,376,3142,366620,116.68,450,3520,1.12,41,105,1687,0,450,0,3520,0,41,7.82,2.31,1.56,703,3.25,9.65,2.35,1.71,608,3.25
WECEng\7\,WECEng,7,,1,29,276,37901,137.32,48,324,1.17,4,5,75,0,48,0,324,0,4,6.75,2.75,1.83,88,1.5,11.22,2.87,2.48,67,1.5
