,dataset,topic,language,topics,subtopics,documents,tokens,mean_doc_size,coref_chain,mentions,mean_mention_density,singletons,cross-subtopic-chains,cross-subtopic-mentions,coref_chain_entity,coref_chain_event,mentions_entity,mentions_event,singletons_entity,singletons_event,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_avg_all,unique_lemmas_sum_all,lexical_ambiguity_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_avg_wo_singl,unique_lemmas_sum_wo_singl,lexical_ambiguity_wo_singl
NewsWCL50\\,NewsWCL50,,,10,10,50,49591,991.82,134,5119,102.38,4,0,0,96,38,3894,1225,4,0,38.2,8.84,10.24,804,1.81,39.35,8.84,10.52,803,1.81
ECBplus\1\,ECBplus,1,,1,2,39,6820,174.87,216,755,19.36,118,0,0,115,101,468,287,72,46,3.5,1.68,1.58,236,1.49,8.59,1.84,2.76,152,1.36
ECBplus\10\,ECBplus,10,,1,2,21,6738,320.86,84,198,9.43,57,2,29,74,10,153,45,56,1,2.36,1.04,1.21,76,1.39,5.56,1.05,1.72,38,1.24
ECBplus\11\,ECBplus,11,,1,2,16,4304,269.0,66,159,9.94,42,3,33,55,11,110,49,41,1,2.41,1.15,1.3,73,1.18,5.04,1.2,1.87,39,1.1
ECBplus\12\,ECBplus,12,,1,2,30,10337,344.57,99,375,12.5,60,3,75,73,26,239,136,55,5,3.79,0.94,1.52,108,1.41,8.46,0.93,2.38,68,1.32
ECBplus\13\,ECBplus,13,,1,2,33,11145,337.73,89,266,8.06,60,3,51,72,17,164,102,55,5,2.99,1.29,1.38,100,1.31,7.32,1.37,2.21,58,1.21
ECBplus\14\,ECBplus,14,,1,2,21,3596,171.24,50,163,7.76,26,0,0,40,10,97,66,26,0,3.26,1.11,1.48,61,1.26,6.14,1.13,2.09,39,1.26
ECBplus\16\,ECBplus,16,,1,2,14,8447,603.36,84,193,13.79,47,0,0,63,21,133,60,44,3,2.3,1.82,1.46,95,1.31,4.89,2.16,2.39,55,1.24
ECBplus\18\,ECBplus,18,,1,2,27,12466,461.7,77,372,13.78,31,0,0,53,24,210,162,31,0,4.83,1.54,1.94,122,1.28,7.7,1.6,2.64,96,1.28
ECBplus\19\,ECBplus,19,,1,2,25,15440,617.6,102,319,12.76,55,0,0,73,29,191,128,52,3,3.13,1.69,1.7,139,1.32,6.86,1.86,2.92,91,1.31
ECBplus\2\,ECBplus,2,,1,2,21,8703,414.43,104,327,15.57,65,2,12,79,25,200,127,59,6,3.14,1.39,1.62,134,1.28,7.97,1.5,3.0,76,1.32
ECBplus\20\,ECBplus,20,,1,2,15,5114,340.93,76,237,15.8,37,1,14,61,15,145,92,37,0,3.12,1.81,1.7,98,1.36,5.74,1.98,2.56,71,1.28
ECBplus\21\,ECBplus,21,,1,2,26,7433,285.88,95,431,16.58,45,0,0,65,30,262,169,43,2,4.54,1.19,1.77,132,1.36,9.0,1.22,2.74,95,1.34
ECBplus\22\,ECBplus,22,,1,2,23,6155,267.61,103,360,15.65,56,0,0,80,23,226,134,56,0,3.5,1.67,1.66,136,1.32,6.59,1.79,2.48,95,1.28
ECBplus\23\,ECBplus,23,,1,2,21,3709,176.62,65,298,14.19,36,2,31,52,13,185,113,36,0,4.58,1.43,1.85,81,1.52,9.03,1.49,2.9,55,1.58
ECBplus\24\,ECBplus,24,,1,2,26,3831,147.35,85,324,12.46,44,1,8,68,17,225,99,44,0,3.81,1.85,1.76,114,1.37,7.13,1.99,2.67,86,1.28
ECBplus\25\,ECBplus,25,,1,2,26,7608,292.62,85,323,12.42,58,1,42,72,13,208,115,58,0,3.8,0.54,1.38,85,1.4,10.15,0.44,2.23,47,1.28
ECBplus\26\,ECBplus,26,,1,2,24,9227,384.46,91,381,15.88,58,0,0,76,15,245,136,58,0,4.19,1.57,1.67,125,1.24,10.35,1.68,2.97,82,1.16
ECBplus\27\,ECBplus,27,,1,2,28,11621,415.04,167,559,19.96,131,5,143,141,26,416,143,124,7,3.35,1.39,1.47,159,1.58,12.2,1.51,3.23,88,1.35
ECBplus\28\,ECBplus,28,,1,2,25,14735,589.4,141,503,20.12,102,4,59,115,26,327,176,97,5,3.57,0.89,1.5,143,1.48,9.62,0.86,2.67,88,1.28
ECBplus\29\,ECBplus,29,,1,2,24,14987,624.46,148,461,19.21,110,1,53,129,19,315,146,108,2,3.11,1.33,1.4,147,1.49,9.24,1.44,2.55,86,1.27
ECBplus\3\,ECBplus,3,,1,2,20,7697,384.85,129,336,16.8,77,0,0,103,26,239,97,73,4,2.6,2.09,1.52,155,1.31,6.05,2.47,2.63,93,1.24
ECBplus\30\,ECBplus,30,,1,2,27,8624,319.41,241,589,21.81,193,0,0,221,20,420,169,192,1,2.44,1.64,1.41,193,1.77,8.57,1.96,3.15,95,1.55
ECBplus\31\,ECBplus,31,,1,2,25,15801,632.04,204,473,18.92,167,1,14,185,19,354,119,167,0,2.32,1.23,1.25,158,1.66,9.15,1.37,2.58,78,1.18
ECBplus\32\,ECBplus,32,,1,2,19,5550,292.11,95,335,17.63,59,0,0,76,19,227,108,54,5,3.53,1.2,1.53,108,1.39,8.06,1.24,2.47,70,1.27
ECBplus\33\,ECBplus,33,,1,2,16,6767,422.94,162,441,27.56,109,0,0,134,28,297,144,107,2,2.72,1.81,1.54,181,1.41,7.2,2.1,2.93,108,1.28
ECBplus\34\,ECBplus,34,,1,2,27,8231,304.85,150,794,29.41,258,2,148,140,10,636,158,254,4,5.29,0.55,1.49,172,1.34,5.29,0.55,1.49,172,1.34
ECBplus\35\,ECBplus,35,,1,2,21,6047,287.95,67,302,14.38,39,2,26,50,17,157,145,38,1,4.51,0.83,1.54,86,1.29,9.39,0.8,2.29,60,1.2
ECBplus\36\,ECBplus,36,,1,2,19,12772,672.21,121,323,17.0,73,1,10,94,27,217,106,68,5,2.67,1.28,1.4,144,1.25,5.59,1.36,2.09,91,1.13
ECBplus\37\,ECBplus,37,,1,2,21,7876,375.05,131,411,19.57,75,3,13,94,37,216,195,73,2,3.14,1.4,1.56,124,1.66,6.49,1.5,2.43,80,1.58
ECBplus\38\,ECBplus,38,,1,2,15,2861,190.73,64,217,14.47,38,3,30,51,13,128,89,35,3,3.39,1.79,1.67,72,1.53,7.12,1.96,2.72,49,1.45
ECBplus\39\,ECBplus,39,,1,2,25,7819,312.76,105,319,12.76,72,6,93,90,15,252,67,70,2,3.04,2.03,1.77,130,1.47,8.64,2.35,3.89,77,1.48
ECBplus\4\,ECBplus,4,,1,2,24,9762,406.75,97,277,11.54,68,0,0,77,20,190,87,62,6,2.86,1.42,1.46,128,1.14,8.5,1.57,2.88,65,1.12
ECBplus\40\,ECBplus,40,,1,2,21,10765,512.62,96,246,11.71,68,3,41,83,13,172,74,67,1,2.56,1.2,1.47,115,1.3,6.36,1.28,2.61,66,1.23
ECBplus\41\,ECBplus,41,,1,2,20,13840,692.0,207,471,23.55,146,0,0,170,37,349,122,135,11,2.28,2.5,1.46,200,1.52,5.98,3.22,2.79,107,1.4
ECBplus\42\,ECBplus,42,,1,2,23,4991,217.0,73,283,12.3,45,4,79,58,15,199,84,44,1,3.88,1.53,1.82,99,1.36,8.5,1.63,3.14,74,1.22
ECBplus\43\,ECBplus,43,,1,2,23,14809,643.87,221,521,22.65,192,2,95,204,17,405,116,190,2,2.36,1.65,1.36,225,1.36,13.5,2.04,4.29,88,1.24
ECBplus\44\,ECBplus,44,,1,2,19,8137,428.26,216,519,27.32,185,1,73,194,22,366,153,183,2,2.4,1.37,1.34,207,1.44,11.82,1.58,3.64,87,1.26
ECBplus\45\,ECBplus,45,,1,2,20,4301,215.05,143,513,25.65,87,0,0,109,34,318,195,84,3,3.59,0.74,1.41,157,1.32,8.25,0.68,2.16,84,1.37
ECBplus\5\,ECBplus,5,,1,2,23,9762,424.43,73,219,9.52,54,2,60,64,9,164,55,53,1,3.0,1.82,1.67,112,1.12,9.59,2.11,3.88,64,1.09
ECBplus\6\,ECBplus,6,,1,2,20,7081,354.05,63,210,10.5,41,0,0,52,11,133,77,40,1,3.33,1.38,1.56,82,1.27,7.68,1.47,2.59,52,1.21
ECBplus\7\,ECBplus,7,,1,2,21,6559,312.33,52,230,10.95,23,1,33,37,15,145,85,21,2,4.42,0.97,1.65,65,1.34,8.74,0.96,2.48,45,1.29
ECBplus\8\,ECBplus,8,,1,2,19,10261,540.05,70,238,12.53,25,0,0,43,27,142,96,22,3,3.4,1.39,1.56,101,1.16,5.42,1.45,2.03,74,1.15
ECBplus\9\,ECBplus,9,,1,2,23,14638,636.43,85,220,9.57,55,9,83,71,14,167,53,53,2,2.59,1.42,1.4,109,1.18,5.82,1.57,2.21,66,1.09
ECBplus\\,ECBplus,,,43,86,976,377367,386.65,4886,15491,15.87,3387,67,1386,3950,936,10412,5079,3237,150,3.17,1.39,1.51,2773,2.74,7.66,1.5,2.56,1904,2.26
MEANTIME\0\,MEANTIME,0,,1,30,120,42046,350.38,1250,6534,54.45,458,46,2489,473,784,4027,2507,162,296,5.23,6.67,3.08,2135,1.89,7.67,7.1,4.28,1939,1.85
MEANTIME\1\,MEANTIME,1,,1,30,120,43376,361.47,964,6100,50.83,214,40,2503,331,653,3810,2290,62,152,6.33,7.3,3.64,1900,1.95,7.85,7.53,4.4,1835,1.9
MEANTIME\2\,MEANTIME,2,,1,30,120,41873,348.94,1178,6424,53.53,405,38,2715,317,878,3787,2637,94,311,5.45,6.01,3.02,1801,2.04,7.8,6.34,4.08,1632,1.99
MEANTIME\3\,MEANTIME,3,,1,30,120,41932,349.43,1139,4925,41.04,404,46,1790,244,899,2417,2508,75,329,4.32,5.14,2.86,1493,2.3,6.15,5.51,3.88,1322,2.29
MEANTIME\\dutch,MEANTIME,,dutch,4,120,120,39665,330.54,2535,5440,45.33,773,132,2239,889,1659,3432,2008,221,552,2.15,2.47,1.38,4034,2.46,5.84,3.28,2.59,2269,2.04
MEANTIME\\english,MEANTIME,,english,4,120,120,40231,335.26,2975,6441,53.67,139,164,2746,814,2161,3761,2680,11,128,2.17,1.65,1.29,4672,2.72,6.07,2.01,2.26,2512,2.12
MEANTIME\\italian,MEANTIME,,italian,4,120,120,44538,371.15,2964,6007,50.06,274,151,2251,872,2096,3381,2626,72,202,2.03,2.35,1.32,4603,2.71,5.38,3.17,2.38,2568,2.09
MEANTIME\\spanish,MEANTIME,,spanish,4,120,120,44793,373.27,2954,6095,50.79,295,155,2338,862,2094,3467,2628,89,206,2.06,2.07,1.29,4637,2.67,5.3,2.68,2.19,2560,2.12
MEANTIME\\,MEANTIME,,,4,120,480,169227,352.56,4499,23983,49.96,1481,164,9664,1333,3214,14041,9942,393,1088,5.33,6.42,3.12,5082,2.82,7.46,6.78,4.16,4707,2.73
NP4E\0\,NP4E,0,,1,5,94,49860,530.43,668,6557,69.76,0,0,0,668,0,6557,0,0,0,9.82,1.32,2.63,734,2.42,9.82,1.32,2.63,734,2.42
NP4E\\,NP4E,,,1,5,94,49860,530.43,668,6557,69.76,0,0,0,668,0,6557,0,0,0,9.82,1.32,2.63,734,2.42,9.82,1.32,2.63,734,2.42
NiDENT\0\,NiDENT,0,,1,5,93,48440,520.86,4954,12876,138.45,3205,0,0,4954,0,12876,0,3205,0,2.6,1.19,1.29,1669,3.84,5.53,1.26,1.83,1075,2.99
NiDENT\\,NiDENT,,,1,5,93,48440,520.86,4954,12876,138.45,3205,0,0,4954,0,12876,0,3205,0,2.6,1.19,1.29,1669,3.84,5.53,1.26,1.83,1075,2.99
GVC\0\,GVC,0,,1,241,510,180534,353.99,1680,7298,14.31,635,0,0,0,1680,0,7298,0,635,4.34,1.87,2.3,208,18.82,6.38,1.95,3.08,197,16.65
GVC\\,GVC,,,1,241,510,180534,353.99,1680,7298,14.31,635,0,0,0,1680,0,7298,0,635,4.34,1.87,2.3,208,18.82,6.38,1.95,3.08,197,16.65
FCC_T\0\,FCC_T,0,,1,183,428,346306,809.13,469,3561,8.32,0,252,3303,0,469,0,3561,0,0,7.59,5.04,3.39,343,4.7,11.89,5.26,4.94,339,4.21
FCC_T\\,FCC_T,,,1,183,428,346306,809.13,469,3561,8.32,0,252,3303,0,469,0,3561,0,0,7.59,5.04,3.39,343,4.7,11.89,5.26,4.94,339,4.21
CD2CR\0\,CD2CR,0,,1,264,528,86580,163.98,5226,7601,14.4,4500,0,0,5226,0,7601,0,4500,0,1.45,2.95,1.3,2433,2.8,4.27,5.79,3.15,1166,1.98
CD2CR\\,CD2CR,,,1,264,528,86580,163.98,5226,7601,14.4,4500,0,0,5226,0,7601,0,4500,0,1.45,2.95,1.3,2433,2.8,4.27,5.79,3.15,1166,1.98
WECEng\0\,WECEng,0,,1,532,2019,266343,131.92,623,2397,1.19,69,119,677,0,623,0,2397,0,69,3.85,1.79,1.67,376,3.79,4.7,1.84,1.88,232,4.49
WECEng\1\,WECEng,1,,1,1791,7513,1117638,148.76,2000,8982,1.2,199,555,3694,0,2000,0,8982,0,199,4.49,1.02,1.66,622,6.17,5.23,1.02,1.8,471,6.81
WECEng\10\,WECEng,10,,1,398,2304,343983,149.3,497,2726,1.18,26,151,1108,0,497,0,2726,0,26,5.48,1.47,1.69,488,2.99,6.74,1.49,1.88,287,3.49
WECEng\11\,WECEng,11,,1,452,2536,340614,134.31,565,2902,1.14,44,69,511,0,565,0,2902,0,44,5.14,2.24,1.93,611,2.45,6.42,2.3,2.22,501,2.29
WECEng\12\,WECEng,12,,1,22,189,26104,138.12,33,209,1.11,2,4,89,0,33,0,209,0,2,6.33,4.13,2.12,74,1.58,9.8,4.33,2.85,33,1.85
WECEng\13\,WECEng,13,,1,5,56,7704,137.57,11,66,1.18,0,0,0,0,11,0,66,0,0,6.0,1.95,1.82,35,1.11,10.17,2.03,2.5,17,1.06
WECEng\14\,WECEng,14,,1,32,109,13964,128.11,33,121,1.11,10,4,51,0,33,0,121,0,10,3.67,1.77,1.3,15,3.13,5.0,1.85,1.45,13,2.77
WECEng\15\,WECEng,15,,1,549,3351,517369,154.39,812,4231,1.26,74,238,2470,0,812,0,4231,0,74,5.21,4.56,2.02,696,3.48,7.06,4.78,2.47,492,3.51
WECEng\16\,WECEng,16,,1,59,313,48219,154.05,91,402,1.28,10,25,156,0,91,0,402,0,10,4.42,3.08,1.71,151,1.58,6.27,3.26,2.1,78,1.73
WECEng\17\,WECEng,17,,1,138,653,75527,115.66,160,754,1.15,5,36,197,0,160,0,754,0,5,4.71,1.48,1.62,138,2.75,5.34,1.49,1.73,64,4.11
WECEng\2\,WECEng,2,,1,427,1258,113024,89.84,449,1647,1.31,56,128,627,0,449,0,1647,0,56,3.67,0.51,1.32,105,5.91,4.17,0.49,1.38,69,7.61
WECEng\3\,WECEng,3,,1,706,5044,795235,157.66,926,5900,1.17,67,210,2668,0,926,0,5900,0,67,6.37,4.8,2.47,926,3.21,8.36,4.97,3.01,728,3.14
WECEng\4\,WECEng,4,,1,887,3163,432978,136.89,962,3610,1.14,173,174,986,0,962,0,3610,0,173,3.75,0.71,1.24,235,6.31,4.53,0.69,1.3,169,7.01
WECEng\5\,WECEng,5,,1,199,1502,148151,98.64,230,1743,1.16,26,73,959,0,230,0,1743,0,26,7.58,1.15,1.88,145,3.83,9.45,1.15,2.13,106,4.42
WECEng\6\,WECEng,6,,1,376,3142,366620,116.68,450,3520,1.12,41,105,1687,0,450,0,3520,0,41,7.82,2.31,1.56,299,3.25,9.65,2.35,1.71,198,3.69
WECEng\7\,WECEng,7,,1,29,276,37901,137.32,48,324,1.17,4,5,75,0,48,0,324,0,4,6.75,2.75,1.83,102,1.5,11.22,2.87,2.48,42,1.76
WECEng\8\,WECEng,8,,1,646,2810,294608,104.84,717,3140,1.12,51,121,743,0,717,0,3140,0,51,4.38,0.57,1.4,318,3.93,5.0,0.55,1.47,191,5.02
WECEng\9\,WECEng,9,,1,123,891,108507,121.78,174,998,1.12,8,15,169,0,174,0,998,0,8,5.74,2.79,1.86,247,2.38,7.59,2.88,2.19,148,2.68
WECEng\\,WECEng,,,18,7370,37129,5054489,136.13,7597,43672,1.18,865,2501,22359,0,7597,0,43672,0,865,5.75,2.23,1.85,2358,6.32,6.36,2.25,1.96,2294,6.12
CEREC\0\,CEREC,0,,1,134,706,137679,195.01,1612,10048,14.23,267,0,0,1612,0,10048,0,267,0,6.23,1.13,2.58,1959,2.28,7.3,1.13,2.9,1815,2.31
CEREC\\,CEREC,,,1,134,706,137679,195.01,1612,10048,14.23,267,0,0,1612,0,10048,0,267,0,6.23,1.13,2.58,1959,2.28,7.3,1.13,2.9,1815,2.31
