,doc,subtopic,topic
73,2019 Virginia Cavaliers men's soccer team,2018 ACC Men's Soccer Tournament,Concert
74,Abhisit Vejjajiva,2010 Thai political protests,News Event
75,History of Thailand since 2001,2010 Thai political protests,News Event
76,Chaturon Chaisang,2010 Thai political protests,News Event
77,Prayut Chan-o-cha,2010 Thai political protests,News Event
78,Anocracy,2010 Thai political protests,News Event
79,Jack Picone,2010 Thai political protests,News Event
80,Network of Citizen Volunteers Protecting the Land,2010 Thai political protests,News Event
81,Prachya Pinkaew,2010 Thai political protests,News Event
82,Khattiya Sawasdipol,2010 Thai political protests,News Event
83,People's Democratic Reform Committee,2010 Thai political protests,News Event
84,Jatuporn Prompan,2010 Thai political protests,News Event
85,Prateep Ungsongtham Hata,2010 Thai political protests,News Event
86,Anupong Paochinda,2010 Thai political protests,News Event
87,2011 Thai general election,2010 Thai political protests,News Event
89,2013–2014 Thai political crisis,2010 Thai political protests,News Event
90,Gaggan (restaurant),2010 Thai political protests,News Event
91,Thida Thavornseth,2010 Thai political protests,News Event
92,11th Infantry Regiment (Thailand),2010 Thai political protests,News Event
93,KAT-TUN,2010 Thai political protests,News Event
94,Nattawut Saikua,2010 Thai political protests,News Event
95,Nick Paton Walsh,2010 Thai political protests,News Event
96,Siam Sinfonietta,2010 Thai political protests,News Event
97,Yingluck Shinawatra,2010 Thai political protests,News Event
98,Thailand,2010 Thai political protests,News Event
99,Weng Tojirakarn,2010 Thai political protests,News Event
100,Nelum Pokuna Mahinda Rajapaksa Theatre,ABU Radio Song Festival 2014,Festival
101,Fitz and The Tantrums,16th Annual Honda Civic Tour,Concert
102,Oh My My (album),16th Annual Honda Civic Tour,Concert
103,OneRepublic,16th Annual Honda Civic Tour,Concert
104,A Fishy Story,9th Hong Kong Film Awards,Awards
105,Beyond the Sunset,9th Hong Kong Film Awards,Awards
106,The Killer (1989 film),9th Hong Kong Film Awards,Awards
107,The Bachelor's Swan Song,9th Hong Kong Film Awards,Awards
108,The Topp Twins: Untouchable Girls,2009 Qantas Film and Television Awards,Awards
109,Lisa Taouma,2009 Qantas Film and Television Awards,Awards
110,Mark Albiston,2009 Qantas Film and Television Awards,Awards
111,Melanie Lynskey,2009 Qantas Film and Television Awards,Awards
112,Paula Boock,2009 Qantas Film and Television Awards,Awards
113,Danny Cannon,4th Critics' Choice Television Awards,Awards
114,Uzo Aduba,4th Critics' Choice Television Awards,Awards
115,True Detective,4th Critics' Choice Television Awards,Awards
116,Cosmos: A Spacetime Odyssey,4th Critics' Choice Television Awards,Awards
117,His Last Vow,4th Critics' Choice Television Awards,Awards
118,Return to Zero (film),4th Critics' Choice Television Awards,Awards
119,Fall Out Boy,48th Annual Grammy Awards,Awards
121,Jamiroquai,48th Annual Grammy Awards,Awards
122,Helter Skelter (song),48th Annual Grammy Awards,Awards
123,Be (Common album),48th Annual Grammy Awards,Awards
124,City of Blinding Lights,48th Annual Grammy Awards,Awards
125,James Blunt,48th Annual Grammy Awards,Awards
126,38th Annual Grammy Awards,48th Annual Grammy Awards,Awards
127,Late Registration,48th Annual Grammy Awards,Awards
128,Real Illusions: Reflections,48th Annual Grammy Awards,Awards
129,En Vogue,48th Annual Grammy Awards,Awards
130,Franz Ferdinand (band),48th Annual Grammy Awards,Awards
131,Delbert McClinton,48th Annual Grammy Awards,Awards
132,Our Music,48th Annual Grammy Awards,Awards
133,Holy Ghost: Rare & Unissued Recordings (1962–70),48th Annual Grammy Awards,Awards
134,México en la Piel (album),48th Annual Grammy Awards,Awards
135,"1, 2 Step",48th Annual Grammy Awards,Awards
136,B.B. King & Friends: 80,48th Annual Grammy Awards,Awards
137,Dave Rice (basketball),2000 Mountain West Conference Men's Basketball Tournament,Concert
139,Ajmer Dargah bombing,2006 Malegaon bombings,Terrorist Attack
140,Shahid (film),2006 Malegaon bombings,Terrorist Attack
142,Shivraj Patil,2006 Malegaon bombings,Terrorist Attack
143,Hemant Karkare,2006 Malegaon bombings,Terrorist Attack
144,Abhinav Bharat,2006 Malegaon bombings,Terrorist Attack
145,For Your Eyes Only (film),54th Academy Awards,Awards
146,John Belushi,54th Academy Awards,Awards
147,"O Sport, You Are Peace!",54th Academy Awards,Awards
148,Reds (film),54th Academy Awards,Awards
149,Outlaw: The Saga of Gisli,54th Academy Awards,Awards
150,William Holden,54th Academy Awards,Awards
151,Beasts of the Southern Wild and Other Stories,54th Academy Awards,Awards
152,John Colby (musician),54th Academy Awards,Awards
153,List of Big Five Academy Award winners and nominees,54th Academy Awards,Awards
154,National Heritage (film),54th Academy Awards,Awards
155,Barbara Stanwyck,54th Academy Awards,Awards
156,Damon Albarn,1995 Brit Awards,Awards
157,Bedtime Story (Madonna song),1995 Brit Awards,Awards
159,Stay Another Day,1995 Brit Awards,Awards
160,1965 Soviet nuclear tests,1966 Soviet nuclear tests,Weapons Test
161,1991–92 Duke Blue Devils men's basketball team,1992 ACC Men's Basketball Tournament,Concert
162,Lufshan Shakeeb,5th Gaumee Film Awards,Awards
163,Zeenath Abbas,5th Gaumee Film Awards,Awards
164,Ali Shifau,5th Gaumee Film Awards,Awards
165,Aishath Rishmy,5th Gaumee Film Awards,Awards
166,Nur-Ali Shushtari,2009 Pishin bombing,Terrorist Attack
167,Kazumura Cave,ʻAilāʻau eruption,Eruption
168,Kīlauea Iki,ʻAilāʻau eruption,Eruption
169,Anthony Simmons (writer),1977 Cannes Film Festival,Festival
170,The Hunters (1977 film),1977 Cannes Film Festival,Festival
171,The Purple Taxi,1977 Cannes Film Festival,Festival
172,The Duellists,1977 Cannes Film Festival,Festival
173,A Special Day,1977 Cannes Film Festival,Festival
174,3 Women,1977 Cannes Film Festival,Festival
175,Un taxi mauve,1977 Cannes Film Festival,Festival
176,Below the Surface (Danish TV series),Carcassonne and Trèbes attack,Terrorist Attack
177,School of Applied Artillery,Carcassonne and Trèbes attack,Terrorist Attack
178,ISIL-related terror attacks in France,Carcassonne and Trèbes attack,Terrorist Attack
179,Arnaud Beltrame,Carcassonne and Trèbes attack,Terrorist Attack
180,Cao Yu (cinematographer),36th Hong Kong Film Awards,Awards
181,Hong Kong Film Award for Best Director,36th Hong Kong Film Awards,Awards
182,Hong Kong Film Award for Best Actress,36th Hong Kong Film Awards,Awards
183,Hong Kong Film Award for Best Film,36th Hong Kong Film Awards,Awards
184,Circumstellar habitable zone,Teen Age Message,News Event
185,List of interstellar radio messages,Teen Age Message,News Event
186,A Simple Response to an Elemental Message,Teen Age Message,News Event
187,Message in a bottle,Teen Age Message,News Event
188,Cristiano Ronaldo,2010 Madeira floods and mudslides,Flood
189,C.S. Marítimo,2010 Madeira floods and mudslides,Flood
190,Madeira,2010 Madeira floods and mudslides,Flood
192,Rita Pereira (actress),2010 Madeira floods and mudslides,Flood
193,Touching the Void (film),57th British Academy Film Awards,Awards
194,In This World,57th British Academy Film Awards,Awards
195,Fido (film),Festival international du film fantastique de Gérardmer,Festival
196,We Are What We Are (2010 film),Festival international du film fantastique de Gérardmer,Festival
197,Avoriaz,Festival international du film fantastique de Gérardmer,Festival
198,Bedevilled (2010 film),Festival international du film fantastique de Gérardmer,Festival
199,Julie Dreyfus,Festival international du film fantastique de Gérardmer,Festival
200,Ghostland,Festival international du film fantastique de Gérardmer,Festival
202,Fabrice Du Welz,Festival international du film fantastique de Gérardmer,Festival
203,Emanuel African Methodist Episcopal Church,1886 Charleston earthquake,Earthquake
204,Moses Levy Building,1886 Charleston earthquake,Earthquake
205,Morris Island Light,1886 Charleston earthquake,Earthquake
206,"Dorchester, South Carolina",1886 Charleston earthquake,Earthquake
207,South Carolina,1886 Charleston earthquake,Earthquake
208,Colonial Dorchester State Historic Site,1886 Charleston earthquake,Earthquake
209,Intraplate earthquake,1886 Charleston earthquake,Earthquake
210,"Charleston, South Carolina",1886 Charleston earthquake,Earthquake
211,William Ravenel House,1886 Charleston earthquake,Earthquake
212,Arthur Ravenel Jr. Bridge,1886 Charleston earthquake,Earthquake
213,2006 Gulf of Mexico earthquake,1886 Charleston earthquake,Earthquake
214,Middleton Place,1886 Charleston earthquake,Earthquake
215,"Bethel Methodist Church (Charleston, South Carolina)",1886 Charleston earthquake,Earthquake
216,West Point Rice Mill,1886 Charleston earthquake,Earthquake
217,Exchange and Provost,1886 Charleston earthquake,Earthquake
218,James Sparrow House,1886 Charleston earthquake,Earthquake
219,Old White Meeting House Ruins and Cemetery,1886 Charleston earthquake,Earthquake
220,Lewis Charles Levin,1886 Charleston earthquake,Earthquake
221,"History of Charleston, South Carolina",1886 Charleston earthquake,Earthquake
222,One Million Plan,Farhud,Civilian Attack
223,Anglo-Iraqi War,Farhud,Civilian Attack
224,Jews outside Europe under Axis occupation,Farhud,Civilian Attack
225,History of Zionism,Farhud,Civilian Attack
226,Naïm Kattan,Farhud,Civilian Attack
227,Middle East Theatre of World War II,Farhud,Civilian Attack
228,Persecution of Jews,Farhud,Civilian Attack
229,Rashid Ali al-Gaylani,Farhud,Civilian Attack
230,R-60 (missile),1978 Iranian Chinook shootdown,Civilian Attack
231,Mikoyan-Gurevich MiG-23,1978 Iranian Chinook shootdown,Civilian Attack
232,Project Dark Gene,1978 Iranian Chinook shootdown,Civilian Attack
233,Selenokhod,Google Lunar X Prize,Awards
234,Team Plan B,Google Lunar X Prize,Awards
235,Penn State Lunar Lion Team,Google Lunar X Prize,Awards
236,OrbitBeyond,Google Lunar X Prize,Awards
237,All at Once (Whitney Houston song),American Music Awards of 1987,Awards
238,Nasty (Janet Jackson song),American Music Awards of 1987,Awards
239,Pauly D,2011 Teen Choice Awards,Awards
240,Future History (album),2011 Teen Choice Awards,Awards
241,Don't Wanna Go Home,2011 Teen Choice Awards,Awards
242,A Thousand Suns,2011 Teen Choice Awards,Awards
243,Rope (song),2011 Teen Choice Awards,Awards
244,Abduction (2011 film),2011 Teen Choice Awards,Awards
245,I Want It That Way,1999 MTV Video Music Awards,Awards
246,Version 2.0,1999 MTV Video Music Awards,Awards
247,Never Say Never (Brandy album),1999 MTV Video Music Awards,Awards
248,Have You Ever?,1999 MTV Video Music Awards,Awards
249,Beastie Boys,1999 MTV Video Music Awards,Awards
250,Whitney Houston,1999 MTV Video Music Awards,Awards
251,Big Willie Style,1999 MTV Video Music Awards,Awards
252,Chasing Time (song),1999 MTV Video Music Awards,Awards
253,The Dope Show,1999 MTV Video Music Awards,Awards
255,Oh My God (Guns N' Roses song),1999 MTV Video Music Awards,Awards
256,Marilyn Manson (band),1999 MTV Video Music Awards,Awards
257,Chee Kong Cheah (CheeK),2001 Toronto International Film Festival,Festival
258,The Zookeeper (2001 film),2001 Toronto International Film Festival,Festival
259,Atanarjuat: The Fast Runner,2001 Toronto International Film Festival,Festival
260,Aśoka (film),2001 Toronto International Film Festival,Festival
261,Sean Garrity (director),2001 Toronto International Film Festival,Festival
262,Deco Dawson,2001 Toronto International Film Festival,Festival
263,Neasa Hardiman,London Film Awards,Awards
264,Cotton Wool,London Film Awards,Awards
265,Emily Seale-Jones,London Film Awards,Awards
266,The Weirdo Hero,London Film Awards,Awards
267,15 May Organization,February 1985 Paris bombing,Terrorist Attack
268,Virginia Cavaliers women's lacrosse,Murder of Yeardley Love,Civilian Attack
269,Rita Simons,14th National Television Awards,Awards
270,Point Break,1992 MTV Movie Awards,Awards
271,Dying Young,1992 MTV Movie Awards,Awards
272,Sinoy Joseph,49th Kerala State Film Awards,Awards
273,Sudani from Nigeria,49th Kerala State Film Awards,Awards
274,Aravindante Athidhikal,49th Kerala State Film Awards,Awards
275,2013–14 Eastern Washington Eagles women's basketball team,2014 Big Sky Conference Women's Basketball Tournament,Concert
276,2013–14 Montana Lady Griz basketball team,2014 Big Sky Conference Women's Basketball Tournament,Concert
277,Tchidi Chikere,2012 Golden Icons Academy Movie Awards,Awards
278,I'll Take My Chances,2012 Golden Icons Academy Movie Awards,Awards
280,BattleWheels,E3 1995,Meetings
281,IMSA World Championship Racing,E3 1995,Meetings
282,Deathwatch (video game),E3 1995,Meetings
283,Sam Voutas,4th Asian Film Awards,Awards
284,Nicholas Tse,4th Asian Film Awards,Awards
285,City of Life and Death,4th Asian Film Awards,Awards
286,Robert F. Travis,1950 Fairfield-Suisun Boeing B-29 crash,Airliner Accident
287,Travis Air Force Base,1950 Fairfield-Suisun Boeing B-29 crash,Airliner Accident
288,Richard Gaines,Gilroy Garlic Festival shooting,Civilian Attack
289,William Holden,Gilroy Garlic Festival shooting,Civilian Attack
290,Political positions of Amy Klobuchar,Gilroy Garlic Festival shooting,Civilian Attack
291,Might Is Right,Gilroy Garlic Festival shooting,Civilian Attack
292,Gavin Newsom,Gilroy Garlic Festival shooting,Civilian Attack
293,"Gilroy, California",Gilroy Garlic Festival shooting,Civilian Attack
294,Christmas Hill Park,Gilroy Garlic Festival shooting,Civilian Attack
295,History of Thailand since 2001,2015 Bangkok bombing,Terrorist Attack
296,Grey Wolves (organization),2015 Bangkok bombing,Terrorist Attack
297,East Turkestan independence movement,2015 Bangkok bombing,Terrorist Attack
298,Bangkok,2015 Bangkok bombing,Terrorist Attack
299,2019 Tanauan local elections,Assassination of Antonio Halili,Civilian Attack
300,2019 Cavite local elections,Assassination of Antonio Halili,Civilian Attack
301,Ituri conflict,Bogoro massacre,Civilian Attack
303,Patriotic Resistance Front of Ituri,Bogoro massacre,Civilian Attack
304,Germain Katanga,Bogoro massacre,Civilian Attack
305,Child soldiers in the Democratic Republic of the Congo,Bogoro massacre,Civilian Attack
306,International Criminal Court investigation in the Democratic Republic of the Congo,Bogoro massacre,Civilian Attack
307,Cobra Matata,Bogoro massacre,Civilian Attack
308,Don Newman (basketball),1980 Big Sky Conference Men's Basketball Tournament,Concert
309,Don Monson,1980 Big Sky Conference Men's Basketball Tournament,Concert
310,1979–80 Idaho Vandals men's basketball team,1980 Big Sky Conference Men's Basketball Tournament,Concert
311,1979–80 Weber State Wildcats men's basketball team,1980 Big Sky Conference Men's Basketball Tournament,Concert
312,King Abdullah Financial District,2020 G20 Riyadh summit,Meetings
313,Abdul Subhan Qureshi,2008 Ahmedabad bombings,Terrorist Attack
314,Gujarat Police,2008 Ahmedabad bombings,Terrorist Attack
315,13 September 2008 Delhi bombings,2008 Ahmedabad bombings,Terrorist Attack
316,2011 Mumbai bombings,2008 Ahmedabad bombings,Terrorist Attack
318,2008 Bangalore serial blasts,2008 Ahmedabad bombings,Terrorist Attack
319,Logie Award for Most Popular Australian Program,Logie Awards of 1961,Awards
320,Logie Award for Most Outstanding Miniseries or Telemovie,Logie Awards of 1961,Awards
321,Logie Award for Most Outstanding Drama Series,Logie Awards of 1961,Awards
322,SBA Airlines,Santa Bárbara Airlines Flight 518,Airliner Accident
323,Aeropostal Alas de Venezuela Flight 108,Santa Bárbara Airlines Flight 518,Airliner Accident
324,Alberto Carnevalli Airport,Santa Bárbara Airlines Flight 518,Airliner Accident
325,Judy Clarke,Los Angeles Jewish Community Center shooting,Civilian Attack
326,Andrew R. Heinze,Los Angeles Jewish Community Center shooting,Civilian Attack
327,Aryan Nations,Los Angeles Jewish Community Center shooting,Civilian Attack
328,Million Mom March,Los Angeles Jewish Community Center shooting,Civilian Attack
329,Asian Americans,Los Angeles Jewish Community Center shooting,Civilian Attack
330,Protection of Lawful Commerce in Arms Act,Los Angeles Jewish Community Center shooting,Civilian Attack
331,Karnika,APEC Papua New Guinea 2018,Meetings
332,Visa policy of Papua New Guinea,APEC Papua New Guinea 2018,Meetings
333,Mexico–Papua New Guinea relations,APEC Papua New Guinea 2018,Meetings
334,Morrison Government,APEC Papua New Guinea 2018,Meetings
335,Bryan Jared Kramer,APEC Papua New Guinea 2018,Meetings
336,Soroi Eoe,APEC Papua New Guinea 2018,Meetings
337,Rimbink Pato,APEC Papua New Guinea 2018,Meetings
338,Man gewöhnt sich so schnell an das Schöne,I Love the Little Things,Contest
339,Le Chant de Mallory,I Love the Little Things,Contest
340,"Grand Rapids, Michigan",2013 Grand Rapids flood,Flood
341,M-231 (Michigan highway),2013 Grand Rapids flood,Flood
342,Sundaram Ramakrishnan (social activist),List of Padma Shri award recipients (1990–1999),Awards
343,Narinder Kumar Gupta,List of Padma Shri award recipients (1990–1999),Awards
344,"Luciano Serra, Pilot",6th Venice International Film Festival,Festival
345,The Model Husband (1937 film),6th Venice International Film Festival,Festival
346,A Woman's Face (1938 film),6th Venice International Film Festival,Festival
347,"Choluteca, Choluteca",Miss Earth 2003,Beauty Pageant
348,Dania Prince,Miss Earth 2003,Beauty Pageant
349,Miss Peru,Miss Earth 2003,Beauty Pageant
350,Miss Ecuador 2003,Miss Earth 2003,Beauty Pageant
351,Jennifer Doyle,UCLA Taser incident,News Event
352,Taser,UCLA Taser incident,News Event
353,Sousveillance,UCLA Taser incident,News Event
354,"History of the University of California, Los Angeles",UCLA Taser incident,News Event
355,Death of a Salesman (2000 film),7th Screen Actors Guild Awards,Awards
356,Sex and the City (season 3),7th Screen Actors Guild Awards,Awards
357,Islamophobia in the United Kingdom,2017 Beckton acid attack,Civilian Attack
359,Little Baldon,Little Baldon air crash,Airliner Accident
360,Six O'Clock,Wings 1973 UK Tour,Concert
361,Brinsley Schwarz,Wings 1973 UK Tour,Concert
362,Paul McCartney and Wings,Wings 1973 UK Tour,Concert
363,My Love (Paul McCartney and Wings song),Wings 1973 UK Tour,Concert
364,Band on the Run,Wings 1973 UK Tour,Concert
365,Castle of Evoramonte,1531 Lisbon earthquake,Earthquake
366,Castle of Abrantes,1531 Lisbon earthquake,Earthquake
367,Bairro Alto,1531 Lisbon earthquake,Earthquake
368,São Jorge Castle,1531 Lisbon earthquake,Earthquake
369,Gil Vicente,1531 Lisbon earthquake,Earthquake
370,Igreja de São Domingos (Lisbon),1531 Lisbon earthquake,Earthquake
371,Castle of Santarém,1531 Lisbon earthquake,Earthquake
372,2018 Laurence Olivier Awards,2012 Laurence Olivier Awards,Awards
373,Pilot error,Eastern Air Lines Flight 401,Airliner Accident
374,Crew resource management,Eastern Air Lines Flight 401,Airliner Accident
375,United Airlines Flight 173,Eastern Air Lines Flight 401,Airliner Accident
376,Frank Borman,Eastern Air Lines Flight 401,Airliner Accident
377,John G. Fuller,Eastern Air Lines Flight 401,Airliner Accident
378,Satyamev Jayate (Season 2),2012 Delhi gang rape,Civilian Attack
379,Froot,2012 Delhi gang rape,Civilian Attack
380,Feminism,2012 Delhi gang rape,Civilian Attack
381,Delhi Gang Rape Photo Shoot,2012 Delhi gang rape,Civilian Attack
383,"Juvenile Justice (Care and Protection of Children) Act, 2015",2012 Delhi gang rape,Civilian Attack
384,Neeti Mohan,2012 Delhi gang rape,Civilian Attack
385,Engy Ghozlan,2012 Delhi gang rape,Civilian Attack
386,Sidharth Luthra,2012 Delhi gang rape,Civilian Attack
387,Prajwala,2012 Delhi gang rape,Civilian Attack
388,Middle Finger Protests,2012 Delhi gang rape,Civilian Attack
389,India's Daughter,2012 Delhi gang rape,Civilian Attack
390,Teodoro Locsin Jr.,2012 Delhi gang rape,Civilian Attack
391,Victim blaming,2012 Delhi gang rape,Civilian Attack
392,2010–11 Wofford Terriers men's basketball team,2011 Southern Conference Men's Basketball Tournament,Concert
393,2010–11 Southern Conference men's basketball season,2011 Southern Conference Men's Basketball Tournament,Concert
394,Eva Hache,26th Goya Awards,Awards
395,Elena Anaya,26th Goya Awards,Awards
396,The Sleeping Voice,26th Goya Awards,Awards
397,Blanca Suárez,26th Goya Awards,Awards
398,Daniel Cross (footballer),2004 AFL Rising Star,Awards
399,Sam Butler,2004 AFL Rising Star,Awards
400,Brent Stanton,2004 AFL Rising Star,Awards
401,Culture of California,1969 Santa Barbara oil spill,Oilspill
402,Mesa Oil Field,1969 Santa Barbara oil spill,Oilspill
403,1969: The Year Everything Changed,1969 Santa Barbara oil spill,Oilspill
404,"Summerland, California",1969 Santa Barbara oil spill,Oilspill
405,Rincon Oil Field,1969 Santa Barbara oil spill,Oilspill
406,History of California 1900–present,1969 Santa Barbara oil spill,Oilspill
407,"History of Santa Barbara, California",1969 Santa Barbara oil spill,Oilspill
408,"Isla Vista, California",1969 Santa Barbara oil spill,Oilspill
409,"Santa Barbara County, California",1969 Santa Barbara oil spill,Oilspill
410,National Environmental Policy Act,1969 Santa Barbara oil spill,Oilspill
411,Friends of the Earth (US),1969 Santa Barbara oil spill,Oilspill
412,Summerland Oil Field,1969 Santa Barbara oil spill,Oilspill
413,"Santa Barbara, California",1969 Santa Barbara oil spill,Oilspill
414,Santa Barbara Channel,1969 Santa Barbara oil spill,Oilspill
415,Selma Rubin,1969 Santa Barbara oil spill,Oilspill
416,MS Dhoni,ICC ODI Player of the Year,Awards
417,AB de Villiers,ICC ODI Player of the Year,Awards
418,History of Melodifestivalen,Melodifestivalen 1966,Festival
419,2006 San Francisco SUV rampage,2006 UNC SUV attack,Terrorist Attack
420,Rudy Giuliani,2006 UNC SUV attack,Terrorist Attack
421,Ramming,2006 UNC SUV attack,Terrorist Attack
422,"Glogova, Bratunac",Glogova massacre,Civilian Attack
423,Naser Orić,Glogova massacre,Civilian Attack
424,Miroslav Deronjić,Glogova massacre,Civilian Attack
425,Wonder Woman (Namie Amuro song),2011 MTV Video Music Aid Japan,Awards
426,Uncontrolled (album),2011 MTV Video Music Aid Japan,Awards
427,Checkmate! (album),2011 MTV Video Music Aid Japan,Awards
428,Power (Kanye West song),2011 MTV Video Music Aid Japan,Awards
429,2015–16 Northern Colorado Bears men's basketball team,2015 Big Sky Conference Men's Basketball Tournament,Concert
430,2015–16 Weber State Wildcats men's basketball team,2015 Big Sky Conference Men's Basketball Tournament,Concert
431,Venky Jois,2015 Big Sky Conference Men's Basketball Tournament,Concert
432,2015–16 Eastern Washington Eagles men's basketball team,2015 Big Sky Conference Men's Basketball Tournament,Concert
433,2015–16 Montana State Bobcats men's basketball team,2015 Big Sky Conference Men's Basketball Tournament,Concert
434,Fanny Cano,Madrid runway disaster,News Event
435,Marc Raubenheimer,Madrid runway disaster,News Event
436,Hugo (film),65th British Academy Film Awards,Awards
437,Judi Dench,65th British Academy Film Awards,Awards
438,Harry Potter and the Deathly Hallows – Part 2,65th British Academy Film Awards,Awards
439,Dhobi Ghat (film),65th British Academy Film Awards,Awards
440,John Hurt,65th British Academy Film Awards,Awards
441,Richard Ayoade,65th British Academy Film Awards,Awards
442,Stephenie McMillan,65th British Academy Film Awards,Awards
443,The Skin I Live In,65th British Academy Film Awards,Awards
445,Two & Two (2011 film),65th British Academy Film Awards,Awards
446,Martin Scorsese,65th British Academy Film Awards,Awards
447,"Pokrovsk, Ukraine",Massacre of Grischino,Civilian Attack
448,Field of Mars (Saint Petersburg),"Solar eclipse of April 17, 1912",Solar Eclipse
449,Wola,Wola massacre,Civilian Attack
450,Holocaust victims,Wola massacre,Civilian Attack
451,Women in World War II,Wola massacre,Civilian Attack
452,"St. Lawrence's Church, Warsaw",Wola massacre,Civilian Attack
453,Mass murder on Dzika street,Wola massacre,Civilian Attack
454,Andrzej Romocki,Wola massacre,Civilian Attack
455,Verbrennungskommando Warschau,Wola massacre,Civilian Attack
456,Alix Bushnell,2012 New Zealand Television Awards,Awards
457,Hounds (TV series),2012 New Zealand Television Awards,Awards
458,Matai Smith,2012 New Zealand Television Awards,Awards
459,Sucking in the Seventies,The Rolling Stones US Tour 1978,Concert
460,Live in Texas '78,The Rolling Stones US Tour 1978,Concert
461,Lies (The Rolling Stones song),The Rolling Stones US Tour 1978,Concert
462,Some Girls: Live in Texas '78,The Rolling Stones US Tour 1978,Concert
